Number,99
Data type,Time,sPos (x),sPos (y), sPos(z),View Angle,jPos (x),jPos (z)
POSITION,0.197024,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.215569,0.000,1.800,-0.000,90.000,0.000,-0.000
EVENT,0.220781,Familiarisation started
EVENT,0.221164,Start displaying intro screen
POSITION,0.286492,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.312624,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.337643,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.362769,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.390187,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.427989,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.463219,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.487476,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.512534,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.537941,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.563037,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.589871,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.616557,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.642579,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.678289,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.706572,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.745102,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.780314,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.818047,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.857763,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.887739,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.919802,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.947528,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.975716,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.003926,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.033517,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.063567,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.095268,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.133010,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.160171,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.186947,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.210413,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.235716,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.261434,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.287200,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.311625,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.338486,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.363230,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.392259,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.424129,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.447855,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.475146,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.502404,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.529114,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.555795,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.581195,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.609062,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.634798,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.660701,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.694707,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.722982,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.755352,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.780185,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.811470,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.836783,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.862774,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.890749,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.919100,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.950117,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.975501,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,2.001130,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,2.027392,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,2.053091,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,2.078201,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,2.105221,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,2.130516,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,2.157306,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,2.183183,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,2.210476,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,2.238126,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,2.263757,0.000,1.800,-0.000,90.000,0.000,-0.000
