onset	duration	trial_type
0.0	1.009	fmri_buffer
1.009	1.509	test_start_block
2.518	2.778	go
5.296	2.261	go
7.557	2.36	ignore
9.917	2.561	stop
12.478	2.959	go
15.437	2.26	stop
17.697	2.36	go
20.057	2.571	go
22.628	2.26	ignore
24.888	2.359	ignore
27.247	2.57	ignore
29.817	2.47	ignore
32.287	2.37	go
34.657	2.67	go
37.327	2.56	go
39.887	2.761	stop
42.648	2.559	stop
45.207	2.47	ignore
47.677	2.759	go
50.436	2.571	go
53.007	2.359	stop
55.366	2.27	go
57.636	2.661	go
60.297	2.261	stop
62.558	2.358	go
64.916	2.26	go
67.176	2.37	go
69.546	2.36	go
71.906	2.261	go
74.167	2.87	ignore
77.037	2.359	go
79.396	2.27	go
81.666	2.361	go
84.027	2.459	go
86.486	2.261	stop
88.747	2.27	ignore
91.017	2.769	go
93.786	2.362	ignore
96.148	2.759	go
98.907	2.46	go
101.367	2.323	go
103.69	2.357	stop
106.047	2.659	go
108.706	2.461	stop
111.167	2.258	go
113.425	2.362	ignore
115.787	2.96	ignore
118.747	2.26	go
121.007	2.97	go
123.977	2.46	ignore
126.437	7.51	rest_block
133.947	2.541	test_start_block
136.488	2.779	stop
139.267	2.36	go
141.627	2.46	go
144.087	2.26	stop
146.347	2.461	ignore
148.808	2.768	go
151.576	2.261	ignore
153.837	2.36	go
156.197	2.46	ignore
158.657	2.359	go
161.016	2.261	ignore
163.277	2.56	go
165.837	2.461	go
168.298	2.659	go
170.957	2.26	stop
173.217	2.66	ignore
175.877	2.359	go
178.236	2.262	go
180.498	2.259	go
182.757	2.26	go
185.017	2.369	go
187.386	2.561	ignore
189.947	2.359	go
192.306	2.461	stop
194.767	2.459	go
197.226	2.362	stop
199.588	2.259	ignore
201.847	2.575	go
204.422	2.564	go
206.986	2.261	ignore
209.247	2.26	go
211.507	2.46	stop
213.967	2.359	go
216.326	2.261	go
218.587	3.16	go
221.747	2.659	go
224.406	2.261	ignore
226.667	2.46	stop
229.127	2.86	ignore
231.987	2.46	go
234.447	2.259	go
236.706	2.26	go
238.966	2.561	ignore
241.527	2.26	stop
243.787	2.36	go
246.147	2.361	stop
248.508	2.258	go
250.766	2.362	ignore
253.128	2.259	go
255.387	2.469	go
257.856	7.513	rest_block
265.369	2.519	test_start_block
267.888	2.789	go
270.677	2.36	go
273.037	2.46	ignore
275.497	2.261	stop
277.758	2.259	go
280.017	2.859	go
282.876	2.271	go
285.147	3.459	go
288.606	2.361	ignore
290.967	2.36	ignore
293.327	2.359	go
295.686	2.461	stop
298.147	2.561	ignore
300.708	2.357	go
303.065	2.261	stop
305.326	2.261	go
307.587	3.081	go
310.668	2.458	go
313.126	2.36	go
315.486	2.26	stop
317.746	3.261	stop
321.007	2.96	go
323.967	2.56	stop
326.527	2.36	go
328.887	2.561	stop
331.448	2.36	go
333.808	2.258	go
336.066	2.462	ignore
338.528	2.368	go
340.896	2.661	ignore
343.557	2.259	go
345.816	2.261	stop
348.077	2.46	go
350.537	2.259	go
352.796	2.561	stop
355.357	2.26	go
357.617	2.37	ignore
359.987	2.27	stop
362.257	2.561	stop
364.818	2.558	go
367.376	2.36	go
369.736	2.362	go
372.098	2.259	go
374.357	2.46	ignore
376.817	2.259	go
379.076	2.471	ignore
381.547	2.66	stop
384.207	2.46	go
386.667	2.359	go
389.026	2.262	ignore
391.288	7.509	rest_block
398.797	2.541	test_start_block
401.338	3.088	go
404.426	2.261	go
406.687	2.27	go
408.957	2.358	go
411.315	2.26	go
413.575	2.662	ignore
416.237	2.36	ignore
418.597	2.46	go
421.057	2.36	ignore
423.417	2.26	stop
425.677	2.259	go
427.936	2.262	stop
430.198	2.258	go
432.456	2.361	stop
434.817	3.36	go
438.177	2.559	go
440.736	2.761	stop
443.497	2.761	go
446.258	2.668	go
448.926	2.461	stop
451.387	2.259	go
