onset	duration	trial_type
0.0	1.018	fmri_buffer
1.018	1.509	test_start_block
2.527	2.789	stop
5.316	2.67	go
7.986	2.661	go
10.647	2.26	go
12.907	2.269	go
15.176	2.389	go
17.565	2.804	stop
20.369	2.398	stop
22.767	2.26	stop
25.027	2.259	stop
27.286	2.261	stop
29.547	2.68	go
32.227	2.68	go
34.907	2.26	go
37.167	2.539	go
39.706	2.259	go
41.965	2.543	stop
44.508	2.529	go
47.037	2.539	stop
49.576	2.401	stop
51.977	2.54	stop
54.517	2.529	go
57.046	2.4	go
59.446	2.26	go
61.706	2.541	go
64.247	2.8	go
67.047	2.54	stop
69.587	2.4	stop
71.987	2.259	go
74.246	2.27	stop
76.516	2.261	stop
78.777	2.259	stop
81.036	2.541	go
83.577	2.26	go
85.837	2.26	stop
88.097	2.27	go
90.367	2.259	go
92.626	2.405	go
95.031	2.276	go
97.307	2.259	stop
99.566	2.261	go
101.827	7.51	rest_block
109.337	2.539	test_start_block
111.876	2.781	stop
114.657	2.539	stop
117.196	2.392	go
119.588	2.539	go
122.127	2.258	stop
124.385	2.402	go
126.787	2.4	go
129.187	2.27	go
131.457	2.409	go
133.866	2.39	go
136.256	2.391	stop
138.647	2.68	go
141.327	2.54	go
143.867	2.259	stop
146.126	2.941	stop
149.067	2.259	go
151.326	2.541	go
153.867	2.271	stop
156.138	2.268	go
158.406	2.26	go
160.666	2.259	go
162.925	2.54	go
165.465	3.081	stop
168.546	2.262	stop
170.808	2.398	go
173.206	2.389	stop
175.595	2.542	go
178.137	2.4	go
180.537	2.4	go
182.937	2.8	stop
185.737	2.399	go
188.136	2.262	stop
190.398	2.542	stop
192.94	2.398	stop
195.338	2.41	go
197.748	2.259	stop
200.007	2.399	go
202.406	2.261	go
204.667	2.261	stop
206.928	2.26	go
209.188	2.397	go
211.585	2.272	stop
213.857	7.527	rest_block
221.384	2.535	test_start_block
223.919	2.779	stop
226.698	2.398	stop
229.096	2.401	stop
231.497	2.259	go
233.756	2.542	stop
236.298	2.259	go
238.557	2.399	go
240.956	2.27	go
243.226	2.261	stop
245.487	2.389	go
247.876	2.541	go
250.417	2.4	go
252.817	2.54	go
255.357	2.952	stop
258.309	2.528	go
260.837	2.53	go
263.367	2.26	go
265.627	2.53	stop
268.157	2.4	go
270.557	2.269	go
272.826	2.391	go
275.217	2.259	go
277.476	2.401	stop
279.877	2.541	go
282.418	2.26	stop
284.678	2.399	stop
287.077	2.68	go
289.757	2.261	stop
292.018	3.218	go
295.236	2.401	go
297.637	2.389	go
300.026	2.541	stop
302.567	2.27	go
304.837	2.27	stop
307.107	2.261	stop
309.368	2.94	go
312.308	2.539	go
314.847	2.54	go
317.387	2.26	go
319.647	2.54	stop
322.187	2.26	stop
324.447	2.4	go
326.847	13.963	end
