onset	duration	trial_type
0.0	1.013	fmri_buffer
1.013	1.511	test_start_block
2.524	0.64	spatialcue
3.164	0.419	fixation
3.583	2.12	spatial_congruent
5.703	0.12	doublecue
5.823	0.419	fixation
6.242	2.122	double_incongruent
8.364	0.12	spatialcue
8.484	0.419	fixation
8.903	2.121	spatial_congruent
11.024	0.12	spatialcue
11.144	0.419	fixation
11.563	2.121	spatial_congruent
13.684	0.119	doublecue
13.803	0.42	fixation
14.223	2.12	double_incongruent
16.343	0.12	doublecue
16.463	0.421	fixation
16.884	2.109	double_congruent
18.993	0.12	doublecue
19.113	0.421	fixation
19.534	2.119	double_incongruent
21.653	0.12	spatialcue
21.773	0.421	fixation
22.194	2.119	spatial_incongruent
24.313	0.158	doublecue
24.471	0.422	fixation
24.893	2.11	double_incongruent
27.003	0.121	spatialcue
27.124	0.419	fixation
27.543	2.11	spatial_incongruent
29.653	0.121	doublecue
29.774	0.42	fixation
30.194	2.109	double_congruent
32.303	0.121	spatialcue
32.424	0.419	fixation
32.843	2.12	spatial_incongruent
34.963	0.121	spatialcue
35.084	0.41	fixation
35.494	2.118	spatial_incongruent
37.612	0.121	spatialcue
37.733	0.42	fixation
38.153	2.119	spatial_incongruent
40.272	0.121	doublecue
40.393	0.42	fixation
40.813	2.11	double_incongruent
42.923	0.12	doublecue
43.043	0.421	fixation
43.464	2.109	double_congruent
45.573	0.119	spatialcue
45.692	0.421	fixation
46.113	2.119	spatial_congruent
48.232	0.121	doublecue
48.353	0.42	fixation
48.773	2.119	double_incongruent
50.892	0.121	spatialcue
51.013	0.421	fixation
51.434	2.118	spatial_congruent
53.552	0.121	doublecue
53.673	0.421	fixation
54.094	2.119	double_congruent
56.213	0.121	doublecue
56.334	0.419	fixation
56.753	2.119	double_congruent
58.872	0.121	doublecue
58.993	0.421	fixation
59.414	2.11	double_incongruent
61.524	0.119	spatialcue
61.643	0.422	fixation
62.065	2.118	spatial_incongruent
64.183	0.122	doublecue
64.305	0.408	fixation
64.713	2.12	double_congruent
66.833	0.121	spatialcue
66.954	0.42	fixation
67.374	2.119	spatial_incongruent
69.493	0.121	doublecue
69.614	0.419	fixation
70.033	2.119	double_incongruent
72.152	0.123	spatialcue
72.275	0.419	fixation
72.694	2.109	spatial_incongruent
74.803	0.118	doublecue
74.921	0.411	fixation
75.332	2.12	double_congruent
77.452	0.12	doublecue
77.572	0.421	fixation
77.993	2.12	double_incongruent
80.113	0.121	doublecue
80.234	0.418	fixation
80.652	2.111	double_incongruent
82.763	0.179	spatialcue
82.942	0.427	fixation
83.369	2.114	spatial_congruent
85.483	0.12	doublecue
85.603	0.419	fixation
86.022	2.111	double_congruent
88.133	0.119	spatialcue
88.252	0.411	fixation
88.663	2.121	spatial_incongruent
90.784	0.119	spatialcue
90.903	0.42	fixation
91.323	2.12	spatial_incongruent
93.443	0.119	spatialcue
93.562	0.421	fixation
93.983	2.119	spatial_congruent
96.102	0.12	spatialcue
96.222	0.421	fixation
96.643	2.119	spatial_congruent
98.762	0.121	doublecue
98.883	0.421	fixation
99.304	2.117	double_incongruent
101.421	0.111	doublecue
101.532	0.421	fixation
101.953	2.109	double_congruent
104.062	0.121	doublecue
104.183	0.41	fixation
104.593	2.11	double_congruent
106.703	0.12	spatialcue
106.823	0.416	fixation
107.239	2.103	spatial_congruent
109.342	0.121	doublecue
109.463	0.42	fixation
109.883	2.111	double_congruent
111.994	0.12	doublecue
112.114	0.42	fixation
112.534	2.119	double_incongruent
114.653	0.119	spatialcue
114.772	0.422	fixation
115.194	2.109	spatial_congruent
117.303	0.12	spatialcue
117.423	0.42	fixation
117.843	2.11	spatial_congruent
119.953	0.12	spatialcue
120.073	0.419	fixation
120.492	2.11	spatial_congruent
122.602	0.121	spatialcue
122.723	0.42	fixation
123.143	2.11	spatial_incongruent
125.253	0.119	doublecue
125.372	0.421	fixation
125.793	2.109	double_congruent
127.902	0.122	doublecue
128.024	0.42	fixation
128.444	2.109	double_congruent
130.553	0.119	doublecue
130.672	0.411	fixation
131.083	2.12	double_congruent
133.203	0.12	doublecue
133.323	0.42	fixation
133.743	2.119	double_congruent
135.862	0.122	doublecue
135.984	0.419	fixation
136.403	2.119	double_congruent
138.522	0.12	spatialcue
138.642	0.421	fixation
139.063	2.11	spatial_congruent
141.173	0.12	spatialcue
141.293	0.421	fixation
141.714	2.119	spatial_incongruent
143.833	0.12	doublecue
143.953	0.421	fixation
144.374	2.119	double_incongruent
146.493	0.119	spatialcue
146.612	0.41	fixation
147.022	2.111	spatial_congruent
149.133	0.12	spatialcue
149.253	0.42	fixation
149.673	2.11	spatial_congruent
151.783	0.119	spatialcue
151.902	0.421	fixation
152.323	2.12	spatial_congruent
154.443	0.12	doublecue
154.563	0.419	fixation
154.982	2.11	double_incongruent
157.092	0.12	doublecue
157.212	0.421	fixation
157.633	2.12	double_incongruent
159.753	0.119	doublecue
159.872	0.42	fixation
160.292	2.12	double_incongruent
162.412	0.12	spatialcue
162.532	0.421	fixation
162.953	2.119	spatial_incongruent
165.072	0.121	spatialcue
165.193	0.421	fixation
165.614	2.118	spatial_incongruent
167.732	0.122	doublecue
167.854	0.419	fixation
168.273	2.109	double_incongruent
170.382	0.121	doublecue
170.503	0.42	fixation
170.923	2.11	double_incongruent
173.033	7.509	rest_block
180.542	2.541	test_start_block
183.083	0.639	spatialcue
183.722	0.421	fixation
184.143	2.12	spatial_incongruent
186.263	0.12	doublecue
186.383	0.41	fixation
186.793	2.111	double_incongruent
188.904	0.118	doublecue
189.022	0.421	fixation
189.443	2.12	double_incongruent
191.563	0.12	doublecue
191.683	0.42	fixation
192.103	2.121	double_incongruent
194.224	0.119	doublecue
194.343	0.42	fixation
194.763	2.12	double_congruent
196.883	0.12	spatialcue
197.003	0.42	fixation
197.423	2.109	spatial_incongruent
199.532	0.12	spatialcue
199.652	0.42	fixation
200.072	2.12	spatial_congruent
202.192	0.12	spatialcue
202.312	0.421	fixation
202.733	2.12	spatial_congruent
204.853	0.12	spatialcue
204.973	0.42	fixation
205.393	2.109	spatial_incongruent
207.502	0.121	doublecue
207.623	0.42	fixation
208.043	2.12	double_congruent
210.163	0.121	spatialcue
210.284	0.42	fixation
210.704	2.118	spatial_incongruent
212.822	0.121	spatialcue
212.943	0.42	fixation
213.363	2.11	spatial_congruent
215.473	0.119	spatialcue
215.592	0.421	fixation
216.013	2.119	spatial_congruent
218.132	0.121	spatialcue
218.253	0.418	fixation
218.671	2.121	spatial_congruent
220.792	0.12	doublecue
220.912	0.42	fixation
221.332	2.11	double_incongruent
223.442	0.121	doublecue
