onset	duration	trial_type	large_amount	later_delay
0.0	1.026	fmri_buffer	stim	stim
1.026	1.515	test_start_block	stim	stim
2.541	5.851	stim	31.0	76.0
8.392	4.591	stim	43.0	19.0
12.983	4.649	stim	60.0	124.0
17.632	4.919	stim	27.0	142.0
22.551	4.51	stim	25.0	70.0
27.061	4.981	stim	44.0	92.0
32.042	4.92	stim	41.0	27.0
36.962	4.581	stim	64.0	89.0
41.543	4.519	stim	78.0	108.0
46.062	6.209	stim	80.0	145.0
52.271	4.72	stim	41.0	174.0
56.991	5.06	stim	42.0	145.0
62.051	5.061	stim	36.0	114.0
67.112	5.189	stim	58.0	55.0
72.301	4.979	stim	81.0	58.0
77.28	4.782	stim	32.0	111.0
82.062	4.789	stim	25.0	141.0
86.851	5.2	stim	67.0	23.0
92.051	5.2	stim	77.0	161.0
97.251	5.26	stim	55.0	163.0
102.511	4.591	stim	40.0	159.0
107.102	4.51	stim	76.0	161.0
111.612	4.919	stim	48.0	128.0
116.531	4.581	stim	39.0	95.0
121.112	6.209	stim	83.0	105.0
127.321	4.92	stim	67.0	41.0
132.241	5.269	stim	56.0	172.0
137.51	5.062	stim	28.0	123.0
142.572	4.659	stim	50.0	129.0
147.231	4.72	stim	23.0	61.0
151.951	4.64	stim	79.0	92.0
156.591	4.589	stim	61.0	141.0
161.18	4.581	stim	43.0	38.0
165.761	4.92	stim	66.0	145.0
170.681	4.85	stim	30.0	23.0
175.531	5.259	stim	32.0	57.0
180.79	4.781	stim	27.0	91.0
185.571	6.019	stim	43.0	120.0
191.59	5.59	stim	75.0	60.0
197.18	4.571	stim	34.0	176.0
201.751	5.12	stim	24.0	38.0
206.871	5.67	stim	82.0	74.0
212.541	4.569	stim	58.0	53.0
217.11	4.78	stim	54.0	23.0
221.89	5.061	stim	41.0	55.0
226.951	4.86	stim	77.0	142.0
231.811	5.2	stim	25.0	108.0
237.011	5.05	stim	33.0	163.0
242.061	4.98	stim	29.0	75.0
247.041	4.99	stim	45.0	157.0
252.031	5.329	stim	31.0	74.0
257.36	4.521	stim	80.0	39.0
261.881	5.061	stim	22.0	21.0
266.942	4.718	stim	52.0	139.0
271.66	4.86	stim	54.0	126.0
276.52	6.756	stim	23.0	176.0
283.276	4.514	stim	24.0	87.0
287.79	4.58	stim	36.0	140.0
292.37	4.72	stim	35.0	171.0
297.09	4.93	stim	34.0	43.0
302.02	4.581	stim	74.0	121.0
306.601	7.511	rest_block	stim	stim
314.112	5.809	stim	45.0	107.0
319.921	4.64	stim	77.0	24.0
324.561	4.58	stim	39.0	161.0
329.141	5.47	stim	62.0	180.0
334.611	5.389	stim	24.0	139.0
340.0	4.581	stim	58.0	72.0
344.581	6.28	stim	56.0	93.0
350.861	5.54	stim	45.0	26.0
356.401	4.58	stim	23.0	42.0
360.981	4.65	stim	50.0	41.0
365.631	4.65	stim	25.0	176.0
370.281	5.13	stim	54.0	22.0
375.411	5.32	stim	29.0	44.0
380.731	4.579	stim	24.0	89.0
385.31	4.581	stim	23.0	77.0
389.891	4.58	stim	27.0	130.0
394.471	4.86	stim	23.0	134.0
399.331	4.519	stim	55.0	107.0
403.85	5.661	stim	44.0	143.0
409.511	4.929	stim	23.0	110.0
414.44	4.65	stim	65.0	156.0
419.09	4.52	stim	22.0	27.0
423.61	4.522	stim	50.0	59.0
428.132	5.119	stim	85.0	129.0
433.251	6.14	stim	66.0	58.0
439.391	4.85	stim	49.0	172.0
444.241	4.589	stim	73.0	44.0
448.83	4.72	stim	58.0	73.0
453.55	5.881	stim	71.0	76.0
459.431	4.649	stim	67.0	74.0
464.08	5.321	stim	29.0	58.0
469.401	4.989	stim	39.0	104.0
474.39	4.58	stim	33.0	103.0
478.97	5.531	stim	33.0	78.0
484.501	5.6	stim	74.0	52.0
490.101	5.799	stim	28.0	132.0
495.9	4.591	stim	28.0	59.0
500.491	5.13	stim	28.0	163.0
505.621	4.51	stim	32.0	74.0
510.131	4.859	stim	57.0	89.0
514.99	4.58	stim	70.0	108.0
519.57	5.4	stim	72.0	95.0
524.97	5.06	stim	30.0	36.0
530.03	4.71	stim	41.0	129.0
534.74	4.92	stim	78.0	129.0
539.66	4.921	stim	71.0	88.0
544.581	4.849	stim	65.0	159.0
549.43	5.13	stim	24.0	125.0
554.56	5.12	stim	58.0	36.0
559.68	4.71	stim	63.0	37.0
564.39	4.86	stim	75.0	41.0
569.25	4.851	stim	45.0	72.0
574.101	6.889	stim	25.0	74.0
580.99	4.579	stim	65.0	137.0
585.569	4.791	stim	49.0	140.0
590.36	7.03	stim	67.0	103.0
597.39	4.711	stim	69.0	172.0
602.101	5.199	stim	66.0	71.0
607.3	5.06	stim	71.0	176.0
612.36	16.53	end	stim	stim
