onset	duration	trial_type
0.0	1.01	fmri_buffer
1.01	1.52	test_start_block
2.53	1.039	fixation
3.569	2.019	incongruent
5.588	2.021	congruent
7.609	2.28	incongruent
9.889	2.02	incongruent
11.909	2.158	congruent
14.067	2.021	congruent
16.088	2.14	congruent
18.228	2.02	congruent
20.248	2.021	congruent
22.269	2.021	incongruent
24.29	2.279	incongruent
26.569	2.019	incongruent
28.588	2.151	incongruent
30.739	2.419	congruent
33.158	2.28	incongruent
35.438	2.7	congruent
38.138	2.022	congruent
40.16	2.419	congruent
42.579	2.139	congruent
44.718	2.69	incongruent
47.408	2.022	incongruent
49.43	2.157	incongruent
51.587	2.962	congruent
54.549	2.02	incongruent
56.569	2.282	incongruent
58.851	2.017	incongruent
60.868	2.021	congruent
62.889	2.019	congruent
64.908	2.01	incongruent
66.918	2.14	congruent
69.058	2.021	congruent
71.079	2.009	incongruent
73.088	2.14	congruent
75.228	2.019	incongruent
77.247	2.026	incongruent
79.273	2.157	incongruent
81.43	2.159	congruent
83.589	2.28	congruent
85.869	2.689	incongruent
88.558	2.021	congruent
90.579	2.009	congruent
92.588	2.281	incongruent
94.869	2.02	incongruent
96.889	2.009	congruent
98.898	2.01	incongruent
100.908	2.022	incongruent
102.93	2.008	incongruent
104.938	2.011	incongruent
106.949	2.29	congruent
109.239	2.02	incongruent
111.259	2.43	congruent
113.689	2.02	congruent
115.709	2.14	congruent
117.849	2.019	congruent
119.868	2.02	congruent
121.888	2.02	incongruent
123.908	2.291	congruent
126.199	2.02	incongruent
128.219	2.279	incongruent
130.498	2.281	incongruent
132.779	2.019	incongruent
134.798	2.69	congruent
137.488	2.02	incongruent
139.508	2.29	congruent
141.798	2.01	congruent
143.808	2.021	congruent
145.829	2.289	incongruent
148.118	2.144	congruent
150.262	2.555	congruent
152.817	2.422	incongruent
155.239	2.02	incongruent
157.259	2.019	incongruent
159.278	2.021	incongruent
161.299	2.55	congruent
163.849	2.16	congruent
166.009	2.019	congruent
168.028	2.021	congruent
170.049	2.279	congruent
172.328	2.018	incongruent
174.346	2.022	congruent
176.368	2.14	incongruent
178.508	2.021	incongruent
180.529	2.29	incongruent
182.819	2.14	congruent
184.959	2.429	incongruent
187.388	2.021	congruent
189.409	2.02	congruent
191.429	2.829	incongruent
194.258	2.02	incongruent
196.278	2.021	incongruent
198.299	2.159	congruent
200.458	2.02	congruent
202.478	2.01	incongruent
204.488	2.01	congruent
206.498	2.02	incongruent
208.518	2.022	congruent
210.54	6.579	end
