onset	duration	trial_type
0.0	1.007	fmri_buffer
1.007	1.518	practice_start_block
2.525	2.936	UA_with_intermediate
5.461	0.491	UA_with_intermediate
5.952	1.407	UA_with_intermediate
7.359	0.872	UA_with_intermediate
8.231	0.326	UA_with_intermediate
8.557	0.379	UA_with_intermediate
8.936	0.503	UA_with_intermediate
9.439	0.53	UA_with_intermediate
9.969	2.515	trial_end_and_next_start
12.484	1.842	UA_with_intermediate
14.326	0.746	UA_with_intermediate
15.072	0.382	UA_with_intermediate
15.454	0.419	UA_with_intermediate
15.873	0.658	UA_with_intermediate
16.531	0.394	UA_with_intermediate
16.925	2.119	trial_end_and_next_start
19.044	2.714	UA_without_intermediate
21.758	0.896	UA_without_intermediate
22.654	1.394	UA_without_intermediate
24.048	1.013	UA_without_intermediate
25.061	1.267	UA_without_intermediate
26.328	0.301	UA_without_intermediate
26.629	0.457	UA_without_intermediate
27.086	0.526	UA_without_intermediate
27.612	0.607	UA_without_intermediate
28.219	0.357	UA_without_intermediate
28.576	2.448	UA_without_intermediate
31.024	0.336	UA_without_intermediate
31.36	2.215	trial_end_and_next_start
33.575	4.294	UA_without_intermediate
37.869	0.414	UA_without_intermediate
38.283	0.553	UA_without_intermediate
38.836	1.137	UA_without_intermediate
39.973	0.5	UA_without_intermediate
40.473	0.574	UA_without_intermediate
41.047	0.351	UA_without_intermediate
41.398	0.259	UA_without_intermediate
41.657	2.017	trial_end_and_next_start
43.674	1.568	test_start_block
45.242	2.974	PA_without_intermediate
48.216	0.533	PA_without_intermediate
48.749	0.902	PA_without_intermediate
49.651	0.368	PA_without_intermediate
50.019	0.396	PA_without_intermediate
50.415	0.626	PA_without_intermediate
51.041	3.103	trial_end_and_next_start
54.144	3.134	PA_with_intermediate
57.278	0.478	PA_with_intermediate
57.756	0.694	PA_with_intermediate
58.45	0.518	PA_with_intermediate
58.968	0.45	PA_with_intermediate
59.418	0.576	PA_with_intermediate
59.994	2.03	trial_end_and_next_start
62.024	1.611	PA_without_intermediate
63.635	0.557	PA_without_intermediate
64.192	0.557	PA_without_intermediate
64.749	0.397	PA_without_intermediate
65.146	0.391	PA_without_intermediate
65.537	0.44	PA_without_intermediate
65.977	2.017	trial_end_and_next_start
67.994	1.317	PA_without_intermediate
69.311	0.356	PA_without_intermediate
69.667	0.43	PA_without_intermediate
70.097	0.393	PA_without_intermediate
70.49	0.437	PA_without_intermediate
70.927	0.385	PA_without_intermediate
71.312	2.023	trial_end_and_next_start
73.335	2.749	PA_with_intermediate
76.084	1.623	PA_with_intermediate
77.707	0.753	PA_with_intermediate
78.46	0.459	PA_with_intermediate
78.919	0.355	PA_with_intermediate
79.274	0.274	PA_with_intermediate
79.548	2.576	trial_end_and_next_start
82.124	1.59	PA_without_intermediate
83.714	0.443	PA_without_intermediate
84.157	0.72	PA_without_intermediate
84.877	0.531	PA_without_intermediate
85.408	0.516	PA_without_intermediate
85.924	0.517	PA_without_intermediate
86.441	2.294	trial_end_and_next_start
88.735	1.652	PA_with_intermediate
90.387	1.147	PA_with_intermediate
91.534	0.522	PA_with_intermediate
92.056	0.471	PA_with_intermediate
92.527	0.731	PA_with_intermediate
93.258	0.403	PA_with_intermediate
93.661	4.073	trial_end_and_next_start
97.734	1.375	PA_with_intermediate
99.109	0.943	PA_with_intermediate
100.052	0.502	PA_with_intermediate
100.554	0.482	PA_with_intermediate
101.036	0.586	PA_with_intermediate
101.622	0.452	PA_with_intermediate
102.074	2.29	trial_end_and_next_start
104.364	0.907	PA_with_intermediate
105.271	0.664	PA_with_intermediate
105.935	0.48	PA_with_intermediate
106.415	0.364	PA_with_intermediate
106.779	0.353	PA_with_intermediate
107.132	0.258	PA_with_intermediate
107.39	2.163	trial_end_and_next_start
109.553	0.772	PA_with_intermediate
110.325	0.631	PA_with_intermediate
110.956	0.591	PA_with_intermediate
111.547	0.349	PA_with_intermediate
111.896	0.39	PA_with_intermediate
112.286	0.372	PA_with_intermediate
112.658	2.039	trial_end_and_next_start
114.697	2.4	PA_with_intermediate
117.097	0.668	PA_with_intermediate
117.765	1.735	PA_with_intermediate
119.5	0.363	PA_with_intermediate
119.863	0.426	PA_with_intermediate
120.289	0.521	PA_with_intermediate
120.81	2.023	trial_end_and_next_start
122.833	1.756	PA_without_intermediate
124.589	0.459	PA_without_intermediate
125.048	0.617	PA_without_intermediate
125.665	0.493	PA_without_intermediate
126.158	1.062	PA_without_intermediate
127.22	0.368	PA_without_intermediate
127.588	2.436	trial_end_and_next_start
130.024	1.209	PA_with_intermediate
131.233	0.849	PA_with_intermediate
132.082	0.438	PA_with_intermediate
132.52	0.355	PA_with_intermediate
132.875	0.57	PA_with_intermediate
133.445	0.374	PA_with_intermediate
133.819	3.795	trial_end_and_next_start
137.614	0.872	PA_with_intermediate
138.486	0.889	PA_with_intermediate
139.375	1.082	PA_with_intermediate
140.457	0.371	PA_with_intermediate
140.828	0.449	PA_with_intermediate
141.277	0.484	PA_with_intermediate
141.761	2.722	trial_end_and_next_start
144.483	1.187	PA_without_intermediate
145.67	0.564	PA_without_intermediate
146.234	0.686	PA_without_intermediate
146.92	0.468	PA_without_intermediate
147.388	0.379	PA_without_intermediate
147.767	0.911	PA_without_intermediate
148.678	3.254	trial_end_and_next_start
151.932	5.022	reminder
156.954	1.161	PA_without_intermediate
158.115	0.662	PA_without_intermediate
158.777	0.395	PA_without_intermediate
159.172	0.399	PA_without_intermediate
159.571	0.434	PA_without_intermediate
160.005	0.482	PA_without_intermediate
160.487	3.376	trial_end_and_next_start
163.863	1.956	PA_without_intermediate
165.819	0.487	PA_without_intermediate
166.306	1.326	PA_without_intermediate
167.632	0.695	PA_without_intermediate
168.327	1.028	PA_without_intermediate
169.355	0.314	PA_without_intermediate
169.669	2.014	trial_end_and_next_start
171.683	1.971	PA_without_intermediate
173.654	0.449	PA_without_intermediate
174.103	0.469	PA_without_intermediate
174.572	0.447	PA_without_intermediate
175.019	1.019	PA_without_intermediate
176.038	0.329	PA_without_intermediate
176.367	2.446	trial_end_and_next_start
178.813	2.062	PA_with_intermediate
180.875	0.997	PA_with_intermediate
181.872	0.431	PA_with_intermediate
182.303	0.387	PA_with_intermediate
182.69	1.104	PA_with_intermediate
183.794	0.454	PA_with_intermediate
184.248	2.166	trial_end_and_next_start
186.414	1.195	PA_without_intermediate
187.609	0.46	PA_without_intermediate
188.069	1.136	PA_without_intermediate
189.205	0.378	PA_without_intermediate
189.583	0.443	PA_without_intermediate
190.026	0.319	PA_without_intermediate
190.345	5.148	trial_end_and_next_start
195.493	1.664	PA_without_intermediate
197.157	0.429	PA_without_intermediate
197.586	1.103	PA_without_intermediate
198.689	0.385	PA_without_intermediate
199.074	0.372	PA_without_intermediate
199.446	0.515	PA_without_intermediate
199.961	2.183	trial_end_and_next_start
202.144	1.189	PA_without_intermediate
203.333	0.604	PA_without_intermediate
203.937	0.489	PA_without_intermediate
204.426	0.711	PA_without_intermediate
205.137	1.083	PA_without_intermediate
206.22	0.372	PA_without_intermediate
206.592	5.303	trial_end_and_next_start
211.895	2.498	PA_with_intermediate
214.393	0.746	PA_with_intermediate
215.139	0.393	PA_with_intermediate
215.532	0.475	PA_with_intermediate
216.007	0.504	PA_with_intermediate
216.511	0.608	PA_with_intermediate
217.119	4.054	trial_end_and_next_start
221.173	1.969	PA_with_intermediate
223.142	0.584	PA_with_intermediate
223.726	1.018	PA_with_intermediate
224.744	0.468	PA_with_intermediate
225.212	0.462	PA_with_intermediate
225.674	0.407	PA_with_intermediate
226.081	2.174	trial_end_and_next_start
228.255	2.149	PA_with_intermediate
230.404	0.481	PA_with_intermediate
230.885	0.551	PA_with_intermediate
231.436	0.464	PA_with_intermediate
231.9	0.423	PA_with_intermediate
232.323	0.446	PA_with_intermediate
232.769	2.445	trial_end_and_next_start
235.214	1.21	PA_without_intermediate
236.424	0.473	PA_without_intermediate
236.897	0.524	PA_without_intermediate
237.421	0.458	PA_without_intermediate
237.879	0.477	PA_without_intermediate
238.356	0.362	PA_without_intermediate
238.718	2.715	trial_end_and_next_start
241.433	1.185	PA_with_intermediate
242.618	0.707	PA_with_intermediate
243.325	0.506	PA_with_intermediate
243.831	0.32	PA_with_intermediate
244.151	0.465	PA_with_intermediate
244.616	0.418	PA_with_intermediate
245.034	4.77	trial_end_and_next_start
249.804	1.584	PA_without_intermediate
251.388	0.568	PA_without_intermediate
251.956	0.836	PA_without_intermediate
252.792	0.508	PA_without_intermediate
253.3	0.736	PA_without_intermediate
254.036	0.432	PA_without_intermediate
254.468	3.276	trial_end_and_next_start
257.744	0.91	PA_without_intermediate
258.654	0.572	PA_without_intermediate
259.226	0.42	PA_without_intermediate
259.646	0.399	PA_without_intermediate
260.045	0.413	PA_without_intermediate
260.458	0.347	PA_without_intermediate
260.805	2.318	trial_end_and_next_start
263.123	0.893	PA_with_intermediate
264.016	0.458	PA_with_intermediate
264.474	0.492	PA_with_intermediate
264.966	0.425	PA_with_intermediate
265.391	0.426	PA_with_intermediate
265.817	0.645	PA_with_intermediate
266.462	3.67	trial_end_and_next_start
270.132	5.022	reminder
275.154	2.195	PA_without_intermediate
277.349	0.856	PA_without_intermediate
278.205	0.459	PA_without_intermediate
278.664	0.325	PA_without_intermediate
278.989	0.439	PA_without_intermediate
279.428	0.317	PA_without_intermediate
279.745	2.427	trial_end_and_next_start
282.172	0.872	PA_without_intermediate
283.044	0.615	PA_without_intermediate
283.659	0.807	PA_without_intermediate
284.466	0.401	PA_without_intermediate
284.867	0.436	PA_without_intermediate
285.303	0.415	PA_without_intermediate
285.718	2.035	trial_end_and_next_start
287.753	0.822	PA_with_intermediate
288.575	0.431	PA_with_intermediate
289.006	0.819	PA_with_intermediate
289.825	0.418	PA_with_intermediate
290.243	0.398	PA_with_intermediate
290.641	0.278	PA_with_intermediate
290.919	0.437	PA_with_intermediate
291.356	0.326	PA_with_intermediate
291.682	2.052	trial_end_and_next_start
293.734	2.109	PA_with_intermediate
295.843	0.405	PA_with_intermediate
296.248	0.367	PA_with_intermediate
296.615	0.3	PA_with_intermediate
296.915	0.37	PA_with_intermediate
297.285	0.368	PA_with_intermediate
297.653	2.028	PA_with_intermediate
299.681	0.675	PA_with_intermediate
300.356	0.399	PA_with_intermediate
300.755	0.245	PA_with_intermediate
301.0	2.043	trial_end_and_next_start
303.043	1.736	PA_with_intermediate
304.779	1.086	PA_with_intermediate
305.865	0.42	PA_with_intermediate
306.285	0.443	PA_with_intermediate
306.728	0.508	PA_with_intermediate
307.236	0.454	PA_with_intermediate
307.69	2.463	trial_end_and_next_start
310.153	1.072	PA_without_intermediate
311.225	0.45	PA_without_intermediate
311.675	0.57	PA_without_intermediate
312.245	0.495	PA_without_intermediate
312.74	0.431	PA_without_intermediate
313.171	0.547	PA_without_intermediate
313.718	2.835	trial_end_and_next_start
316.553	1.177	PA_with_intermediate
317.73	0.783	PA_with_intermediate
318.513	0.475	PA_with_intermediate
318.988	0.421	PA_with_intermediate
319.409	0.464	PA_with_intermediate
319.873	0.379	PA_with_intermediate
320.252	4.211	trial_end_and_next_start
324.463	1.154	PA_with_intermediate
325.617	0.471	PA_with_intermediate
326.088	0.355	PA_with_intermediate
326.443	0.416	PA_with_intermediate
326.859	0.9	PA_with_intermediate
327.759	0.401	PA_with_intermediate
328.16	3.403	trial_end_and_next_start
331.563	1.447	PA_with_intermediate
333.01	1.427	PA_with_intermediate
334.437	0.598	PA_with_intermediate
335.035	0.382	PA_with_intermediate
335.417	0.413	PA_with_intermediate
335.83	0.411	PA_with_intermediate
336.241	0.069	PA_with_intermediate
336.31	1.568	PA_with_intermediate
337.878	1.128	PA_with_intermediate
339.006	0.334	PA_with_intermediate
339.34	0.597	PA_with_intermediate
339.937	0.338	PA_with_intermediate
340.275	2.038	trial_end_and_next_start
342.313	0.955	PA_without_intermediate
343.268	0.65	PA_without_intermediate
343.918	0.464	PA_without_intermediate
344.382	0.352	PA_without_intermediate
344.734	0.434	PA_without_intermediate
345.168	0.393	PA_without_intermediate
345.561	2.472	trial_end_and_next_start
348.033	2.305	PA_with_intermediate
350.338	0.383	PA_with_intermediate
350.721	0.564	PA_with_intermediate
351.285	0.47	PA_with_intermediate
351.755	0.962	PA_with_intermediate
352.717	0.455	PA_with_intermediate
353.172	2.871	trial_end_and_next_start
356.043	1.144	PA_without_intermediate
357.187	0.455	PA_without_intermediate
357.642	0.446	PA_without_intermediate
358.088	0.42	PA_without_intermediate
358.508	0.439	PA_without_intermediate
358.947	0.391	PA_without_intermediate
359.338	3.145	trial_end_and_next_start
362.483	1.012	PA_without_intermediate
363.495	0.412	PA_without_intermediate
363.907	0.605	PA_without_intermediate
364.512	0.424	PA_without_intermediate
364.936	0.74	PA_without_intermediate
365.676	0.376	PA_without_intermediate
366.052	2.172	trial_end_and_next_start
368.224	1.157	PA_without_intermediate
369.381	0.446	PA_without_intermediate
369.827	1.195	PA_without_intermediate
371.022	0.443	PA_without_intermediate
371.465	0.377	PA_without_intermediate
371.842	0.404	PA_without_intermediate
372.246	7.207	trial_end_and_next_start
379.453	1.59	PA_without_intermediate
381.043	0.415	PA_without_intermediate
381.458	0.689	PA_without_intermediate
382.147	0.433	PA_without_intermediate
382.58	0.444	PA_without_intermediate
383.024	0.35	PA_without_intermediate
383.374	2.87	trial_end_and_next_start
386.244	5.01	reminder
391.254	1.457	PA_with_intermediate
392.711	0.427	PA_with_intermediate
393.138	0.374	PA_with_intermediate
393.512	0.415	PA_with_intermediate
393.927	0.36	PA_with_intermediate
394.287	0.382	PA_with_intermediate
394.669	3.004	trial_end_and_next_start
397.673	0.935	PA_with_intermediate
398.608	0.625	PA_with_intermediate
399.233	0.359	PA_with_intermediate
399.592	0.373	PA_with_intermediate
399.965	0.639	PA_with_intermediate
400.604	1.276	PA_with_intermediate
401.88	0.378	PA_with_intermediate
402.258	0.506	PA_with_intermediate
402.764	2.189	trial_end_and_next_start
404.953	1.309	PA_without_intermediate
406.262	0.451	PA_without_intermediate
406.713	0.424	PA_without_intermediate
407.137	0.355	PA_without_intermediate
407.492	0.505	PA_without_intermediate
407.997	0.425	PA_without_intermediate
408.422	2.742	trial_end_and_next_start
411.164	216.329	end
