onset	duration	trial_type	gain_amount	loss_amount	num_loss_cards
0.0	1.012	fmri_buffer			
1.012	1.518	test_start_block			
2.53	2.465	card_flip	12.0	-70.0	1.0
4.995	0.534	card_flip	12.0	-70.0	1.0
5.529	0.516	card_flip	12.0	-70.0	1.0
6.045	1.733	card_flip	12.0	-70.0	1.0
7.778	2.471	inter_trials			
10.249	1.505	card_flip	14.0	-75.0	1.0
11.754	0.286	card_flip	14.0	-75.0	1.0
12.04	0.427	card_flip	14.0	-75.0	1.0
12.467	0.702	card_flip	14.0	-75.0	1.0
13.169	1.596	card_flip	14.0	-75.0	1.0
14.765	2.463	inter_trials			
17.228	3.413	card_flip	15.0	-70.0	1.0
20.641	2.538	inter_trials			
23.179	1.674	card_flip	17.0	-75.0	1.0
24.853	0.399	card_flip	17.0	-75.0	1.0
25.252	0.373	card_flip	17.0	-75.0	1.0
25.625	0.468	card_flip	17.0	-75.0	1.0
26.093	0.661	card_flip	17.0	-75.0	1.0
26.754	2.474	inter_trials			
29.228	1.53	card_flip	24.0	-60.0	2.0
30.758	1.204	card_flip	24.0	-60.0	2.0
31.962	0.785	card_flip	24.0	-60.0	2.0
32.747	2.681	inter_trials			
35.428	2.062	card_flip	29.0	-75.0	2.0
37.49	2.412	inter_trials			
39.902	1.073	card_flip	17.0	-65.0	2.0
40.975	0.395	card_flip	17.0	-65.0	2.0
41.37	0.436	card_flip	17.0	-65.0	2.0
41.806	2.532	inter_trials			
44.338	1.091	card_flip	14.0	-95.0	1.0
45.429	1.849	card_flip	14.0	-95.0	1.0
47.278	2.601	inter_trials			
49.879	2.15	card_flip	15.0	-65.0	2.0
52.029	0.454	card_flip	15.0	-65.0	2.0
52.483	0.839	card_flip	15.0	-65.0	2.0
53.322	2.407	inter_trials			
55.729	1.692	card_flip	17.0	-65.0	2.0
57.421	0.445	card_flip	17.0	-65.0	2.0
57.866	1.229	card_flip	17.0	-65.0	2.0
59.095	1.065	card_flip	17.0	-65.0	2.0
60.16	2.599	inter_trials			
62.759	3.014	card_flip	13.0	-70.0	2.0
65.773	2.325	inter_trials			
68.098	1.549	card_flip	15.0	-80.0	2.0
69.647	0.353	card_flip	15.0	-80.0	2.0
70.0	0.639	card_flip	15.0	-80.0	2.0
70.639	2.272	inter_trials			
72.911	1.27	card_flip	14.0	-65.0	3.0
74.181	0.422	card_flip	14.0	-65.0	3.0
74.603	0.459	card_flip	14.0	-65.0	3.0
75.062	2.467	inter_trials			
77.529	1.055	card_flip	1.0	-45.0	1.0
78.584	0.65	card_flip	1.0	-45.0	1.0
79.234	0.842	card_flip	1.0	-45.0	1.0
80.076	2.667	card_flip	1.0	-45.0	1.0
82.743	3.276	inter_trials			
86.019	2.441	card_flip	15.0	-70.0	3.0
88.46	1.394	card_flip	15.0	-70.0	3.0
89.854	1.406	card_flip	15.0	-70.0	3.0
91.26	2.269	inter_trials			
93.529	2.425	card_flip	30.0	-50.0	3.0
95.954	1.576	card_flip	30.0	-50.0	3.0
97.53	2.259	inter_trials			
99.789	2.529	card_flip	17.0	-70.0	2.0
102.318	0.511	card_flip	17.0	-70.0	2.0
102.829	0.793	card_flip	17.0	-70.0	2.0
103.622	1.001	card_flip	17.0	-70.0	2.0
104.623	2.336	inter_trials			
106.959	3.715	card_flip	7.0	-95.0	1.0
110.674	1.47	card_flip	7.0	-95.0	1.0
112.144	2.305	card_flip	7.0	-95.0	1.0
114.449	2.749	inter_trials			
117.198	2.436	card_flip	9.0	-100.0	1.0
119.634	0.496	card_flip	9.0	-100.0	1.0
120.13	2.461	card_flip	9.0	-100.0	1.0
122.591	0.974	card_flip	9.0	-100.0	1.0
123.565	2.394	inter_trials			
125.959	4.441	card_flip	15.0	-80.0	2.0
130.4	0.513	card_flip	15.0	-80.0	2.0
130.913	0.815	card_flip	15.0	-80.0	2.0
131.728	2.34	inter_trials			
134.068	1.6	card_flip	16.0	-70.0	2.0
135.668	0.497	card_flip	16.0	-70.0	2.0
136.165	1.307	card_flip	16.0	-70.0	2.0
137.472	0.593	card_flip	16.0	-70.0	2.0
138.065	2.274	inter_trials			
140.339	5.521	card_flip	30.0	-45.0	5.0
145.86	2.269	inter_trials			
148.129	1.125	card_flip	13.0	-75.0	1.0
149.254	1.44	card_flip	13.0	-75.0	1.0
150.694	2.378	card_flip	13.0	-75.0	1.0
153.072	0.743	card_flip	13.0	-75.0	1.0
153.815	2.473	inter_trials			
156.288	1.179	card_flip	14.0	-70.0	1.0
157.467	1.01	card_flip	14.0	-70.0	1.0
158.477	1.626	card_flip	14.0	-70.0	1.0
160.103	0.656	card_flip	14.0	-70.0	1.0
160.759	2.479	inter_trials			
163.238	1.674	card_flip	16.0	-80.0	1.0
164.912	0.746	card_flip	16.0	-80.0	1.0
165.658	2.53	inter_trials			
168.188	1.657	card_flip	17.0	-70.0	1.0
169.845	0.606	card_flip	17.0	-70.0	1.0
170.451	1.283	card_flip	17.0	-70.0	1.0
171.734	2.394	inter_trials			
174.128	4.671	card_flip	25.0	-65.0	2.0
178.799	0.726	card_flip	25.0	-65.0	2.0
179.525	2.463	inter_trials			
181.988	1.687	card_flip	30.0	-80.0	2.0
183.675	0.804	card_flip	30.0	-80.0	2.0
184.479	2.539	inter_trials			
187.018	2.823	card_flip	13.0	-95.0	1.0
