onset	duration	trial_type
0.0	1.025	fmri_buffer
1.025	1.519	test_start_block
2.544	1.038	cue_BY
3.582	2.012	fixation
5.594	1.659	probe_BY
7.253	0.521	cue_AY
7.774	2.02	fixation
9.794	1.519	probe_AY
11.313	0.521	cue_AX
11.834	2.022	fixation
13.856	2.066	probe_AX
15.922	0.523	cue_BY
16.445	2.008	fixation
18.453	1.78	probe_BY
20.233	0.521	cue_BX
20.754	2.02	fixation
22.774	1.639	probe_BX
24.413	0.521	cue_AX
24.934	2.009	fixation
26.943	1.64	probe_AX
28.583	0.52	cue_AX
29.103	2.011	fixation
31.114	1.518	probe_AX
32.632	0.511	cue_AX
33.143	2.02	fixation
35.163	1.519	probe_AX
36.682	0.52	cue_AY
37.202	2.022	fixation
39.224	2.059	probe_AY
41.283	0.519	cue_AX
41.802	2.02	fixation
43.822	2.463	probe_AX
46.285	0.52	cue_AX
46.805	2.007	fixation
48.812	1.912	probe_AX
50.724	0.504	cue_AX
51.228	2.016	fixation
53.244	1.523	probe_AX
54.767	0.518	cue_AX
55.285	2.02	fixation
57.305	1.92	probe_AX
59.225	0.52	cue_BX
59.745	2.022	fixation
61.767	2.187	probe_BX
63.954	0.522	cue_AX
64.476	2.008	fixation
66.484	1.508	probe_AX
67.992	0.523	cue_BY
68.515	2.009	fixation
70.524	1.92	probe_BY
72.444	0.52	cue_BX
72.964	2.021	fixation
74.985	2.327	probe_BX
77.312	0.522	cue_AY
77.834	2.02	fixation
79.854	2.34	probe_AY
82.194	0.52	cue_BX
82.714	2.019	fixation
84.733	1.65	probe_BX
86.383	0.52	cue_AY
86.903	2.02	fixation
88.923	1.518	probe_AY
90.441	0.523	cue_BY
90.964	2.021	fixation
92.985	1.918	probe_BY
94.903	0.52	cue_AX
95.423	2.02	fixation
97.443	1.52	probe_AX
98.963	0.521	cue_AY
99.484	2.019	fixation
101.503	2.32	probe_AY
103.823	0.52	cue_AX
104.343	2.025	fixation
106.368	1.518	probe_AX
107.886	0.521	cue_AY
108.407	2.021	fixation
110.428	2.736	probe_AY
113.164	0.52	cue_AX
113.684	2.019	fixation
115.703	1.52	probe_AX
117.223	0.521	cue_AX
117.744	2.021	fixation
119.765	1.66	probe_AX
121.425	0.519	cue_AX
121.944	2.021	fixation
123.965	1.647	probe_AX
125.612	0.524	cue_AX
126.136	2.009	fixation
128.145	1.799	probe_AX
129.944	0.52	cue_BY
130.464	2.011	fixation
132.475	1.779	probe_BY
134.254	0.52	cue_AX
134.774	2.019	fixation
136.793	1.519	probe_AX
138.312	0.521	cue_BY
138.833	2.019	fixation
140.852	2.472	probe_BY
143.324	0.52	cue_AX
143.844	2.02	fixation
145.864	1.64	probe_AX
147.504	0.52	cue_AX
148.024	2.01	fixation
150.034	1.65	probe_AX
151.684	0.521	cue_BX
152.205	2.019	fixation
154.224	1.518	probe_BX
155.742	0.511	cue_BX
156.253	2.01	fixation
158.263	1.519	probe_BX
159.782	0.522	cue_AX
160.304	2.019	fixation
162.323	2.32	probe_AX
164.643	0.521	cue_AY
165.164	2.019	fixation
167.183	2.059	probe_AY
169.242	0.521	cue_AX
169.763	2.021	fixation
171.784	3.959	probe_AX
175.743	0.521	cue_AX
176.264	2.019	fixation
178.283	1.639	probe_AX
179.922	7.513	rest_block
187.435	2.538	test_start_block
189.973	1.042	cue_AY
191.015	2.02	fixation
193.035	1.658	probe_AY
194.693	0.52	cue_AX
195.213	2.01	fixation
197.223	1.649	probe_AX
198.872	0.523	cue_AX
199.395	2.018	fixation
201.413	1.52	probe_AX
202.933	0.521	cue_AX
203.454	2.018	fixation
205.472	1.511	probe_AX
206.983	0.521	cue_AX
207.504	2.02	fixation
209.524	1.919	probe_AX
211.443	0.52	cue_BX
211.963	2.02	fixation
213.983	1.639	probe_BX
215.622	0.521	cue_AX
216.143	2.022	fixation
218.165	2.058	probe_AX
220.223	0.521	cue_AX
220.744	2.019	fixation
222.763	1.789	probe_AX
224.552	0.522	cue_AX
225.074	2.009	fixation
227.083	1.51	probe_AX
228.593	0.512	cue_AX
229.105	2.017	fixation
231.122	2.199	probe_AX
233.321	0.521	cue_AX
233.842	2.022	fixation
235.864	1.52	probe_AX
237.384	0.52	cue_BX
237.904	2.019	fixation
239.923	3.68	probe_BX
243.603	0.519	cue_BY
244.122	2.023	fixation
246.145	1.658	probe_BY
247.803	0.511	cue_BY
248.314	2.009	fixation
250.323	1.64	probe_BY
251.963	0.519	cue_BX
252.482	2.022	fixation
254.504	1.509	probe_BX
256.013	0.509	cue_AX
256.522	2.023	fixation
258.545	1.918	probe_AX
260.463	0.521	cue_AX
260.984	2.009	fixation
262.993	1.64	probe_AX
264.633	0.52	cue_BX
265.153	2.01	fixation
267.163	1.521	probe_BX
268.684	0.518	cue_AX
269.202	2.023	fixation
271.225	1.919	probe_AX
273.144	0.52	cue_BY
273.664	2.02	fixation
275.684	2.19	probe_BY
277.874	0.52	cue_AX
278.394	2.008	fixation
280.402	1.781	probe_AX
282.183	0.519	cue_AX
282.702	2.021	fixation
284.723	1.519	probe_AX
286.242	0.513	cue_AX
286.755	2.009	fixation
288.764	1.519	probe_AX
290.283	0.52	cue_AX
290.803	2.02	fixation
292.823	2.06	probe_AX
294.883	0.52	cue_AX
295.403	2.02	fixation
297.423	2.88	probe_AX
300.303	0.521	cue_BX
300.824	2.009	fixation
302.833	1.519	probe_BX
304.352	0.522	cue_BY
304.874	2.019	fixation
306.893	1.779	probe_BY
308.672	0.522	cue_AX
309.194	2.02	fixation
311.214	1.779	probe_AX
312.993	0.585	cue_AX
313.578	2.015	fixation
315.593	2.879	probe_AX
318.472	0.51	cue_AX
318.982	2.021	fixation
321.003	1.78	probe_AX
322.783	0.522	cue_BX
323.305	2.015	fixation
325.32	1.653	probe_BX
326.973	0.519	cue_BX
327.492	2.02	fixation
329.512	2.46	probe_BX
331.972	0.503	cue_AX
332.475	2.019	fixation
334.494	1.648	probe_AX
336.142	0.511	cue_BX
336.653	2.02	fixation
338.673	1.51	probe_BX
340.183	0.519	cue_AX
340.702	2.01	fixation
342.712	1.64	probe_AX
344.352	0.519	cue_AX
344.871	2.023	fixation
346.894	1.638	probe_AX
348.532	0.521	cue_BY
349.053	2.021	fixation
351.074	2.2	probe_BY
353.274	0.519	cue_AX
353.793	2.021	fixation
355.814	1.509	probe_AX
357.323	0.52	cue_AY
357.843	2.021	fixation
359.864	1.658	probe_AY
361.522	0.511	cue_AX
362.033	2.02	fixation
364.053	1.649	probe_AX
365.702	7.522	rest_block
373.224	2.538	test_start_block
375.762	1.041	cue_AX
376.803	2.02	fixation
378.823	2.199	probe_AX
381.022	0.519	cue_AY
381.541	2.021	fixation
383.562	2.321	probe_AY
385.883	0.52	cue_AY
386.403	2.009	fixation
388.412	1.642	probe_AY
390.054	0.519	cue_BX
390.573	2.009	fixation
392.582	1.921	probe_BX
394.503	0.519	cue_AX
395.022	2.022	fixation
397.044	3.558	probe_AX
400.602	0.521	cue_BX
401.123	2.02	fixation
403.143	1.65	probe_BX
404.793	0.519	cue_BY
405.312	2.021	fixation
407.333	1.521	probe_BY
408.854	0.519	cue_AX
409.373	2.019	fixation
411.392	1.52	probe_AX
412.912	0.52	cue_AX
413.432	2.02	fixation
415.452	1.78	probe_AX
417.232	0.511	cue_BY
417.743	2.02	fixation
419.763	2.47	probe_BY
422.233	0.519	cue_AX
422.752	2.011	fixation
424.763	1.919	probe_AX
426.682	0.521	cue_BX
427.203	2.021	fixation
429.224	1.658	probe_BX
430.882	0.52	cue_AX
431.402	2.011	fixation
433.413	1.519	probe_AX
434.932	0.52	cue_AX
435.452	2.021	fixation
437.473	1.64	probe_AX
439.113	0.52	cue_AX
439.633	2.02	fixation
441.653	1.65	probe_AX
443.303	0.521	cue_BY
443.824	2.019	fixation
445.843	2.47	probe_BY
448.313	0.512	cue_AX
448.825	2.017	fixation
450.842	1.51	probe_AX
452.352	0.521	cue_BY
452.873	2.02	fixation
454.893	1.52	probe_BY
456.413	0.52	cue_AX
456.933	2.02	fixation
458.953	1.64	probe_AX
460.593	0.51	cue_AX
461.103	2.02	fixation
463.123	1.64	probe_AX
464.763	0.521	cue_AY
465.284	2.019	fixation
467.303	1.64	probe_AY
468.943	0.52	cue_AX
469.463	2.019	fixation
471.482	1.521	probe_AX
473.003	0.52	cue_AX
473.523	2.019	fixation
475.542	1.516	probe_AX
477.058	0.516	cue_AX
477.574	2.01	fixation
479.584	1.788	probe_AX
481.372	0.521	cue_AX
481.893	2.02	fixation
483.913	2.199	probe_AX
486.112	0.521	cue_BX
486.633	2.01	fixation
488.643	1.78	probe_BX
490.423	0.519	cue_BY
490.942	2.021	fixation
492.963	1.52	probe_BY
494.483	0.52	cue_AX
495.003	2.01	fixation
497.013	1.519	probe_AX
498.532	0.522	cue_AX
499.054	2.019	fixation
501.073	1.64	probe_AX
502.713	0.518	cue_AY
503.231	2.011	fixation
505.242	2.191	probe_AY
507.433	0.52	cue_AY
507.953	2.009	fixation
509.962	2.32	probe_AY
512.282	0.522	cue_BX
512.804	2.01	fixation
514.814	1.638	probe_BX
516.452	0.521	cue_BX
516.973	2.018	fixation
518.991	2.201	probe_BX
521.192	0.521	cue_AY
521.713	2.02	fixation
523.733	2.059	probe_AY
525.792	0.519	cue_AX
526.311	2.022	fixation
528.333	1.789	probe_AX
530.122	0.52	cue_AX
530.642	2.021	fixation
532.663	1.521	probe_AX
534.184	0.519	cue_AX
534.703	2.021	fixation
536.724	2.188	probe_AX
538.912	0.521	cue_AY
539.433	2.019	fixation
541.452	2.46	probe_AY
543.912	0.522	cue_AX
544.434	2.018	fixation
546.452	1.65	probe_AX
548.102	0.523	cue_AX
548.625	2.007	fixation
550.632	1.92	probe_AX
552.552	7.521	rest_block
560.073	2.54	test_start_block
562.613	1.04	cue_AX
563.653	2.011	fixation
565.664	1.788	probe_AX
567.452	0.521	cue_AX
567.973	2.019	fixation
569.992	1.523	probe_AX
571.515	0.519	cue_AY
572.034	2.019	fixation
574.053	2.459	probe_AY
576.512	0.522	cue_AY
577.034	2.02	fixation
579.054	1.778	probe_AY
580.832	0.52	cue_AX
581.352	2.021	fixation
583.373	1.919	probe_AX
585.292	0.521	cue_AX
585.813	2.028	fixation
587.841	1.932	probe_AX
589.773	0.519	cue_AX
590.292	2.011	fixation
592.303	2.601	probe_AX
594.904	0.518	cue_AY
595.422	2.011	fixation
597.433	1.519	probe_AY
598.952	0.521	cue_BY
599.473	2.019	fixation
601.492	1.52	probe_BY
603.012	0.521	cue_BY
603.533	2.011	fixation
605.544	1.508	probe_BY
607.052	0.521	cue_AX
607.573	2.02	fixation
609.593	1.639	probe_AX
611.232	0.521	cue_BX
611.753	2.02	fixation
613.773	2.059	probe_BX
615.832	0.511	cue_AX
616.343	2.02	fixation
618.363	1.78	probe_AX
620.143	0.519	cue_BX
620.662	2.012	fixation
622.674	2.599	probe_BX
625.273	0.519	cue_AY
625.792	2.022	fixation
627.814	1.521	probe_AY
629.335	0.518	cue_AX
629.853	2.02	fixation
631.873	2.46	probe_AX
634.333	0.521	cue_BY
634.854	2.009	fixation
636.863	1.659	probe_BY
638.522	0.521	cue_AX
639.043	2.019	fixation
641.062	1.64	probe_AX
642.702	0.511	cue_AX
643.213	2.02	fixation
645.233	1.508	probe_AX
646.741	0.522	cue_BY
647.263	2.02	fixation
649.283	1.639	probe_BY
650.922	0.523	cue_AX
651.445	2.018	fixation
653.463	1.519	probe_AX
654.982	0.52	cue_AY
655.502	2.021	fixation
657.523	2.19	probe_AY
659.713	0.519	cue_AX
660.232	2.02	fixation
