"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","exp_id"
"1724","13","text","0","1725","0.0-0.0","pilot-38_ses-01_run2","","","","","","","","","","","","","","","","","",""
"1066","89","poldrack-text","1","3820","0.0-1.0","pilot-38_ses-01_run2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","1066","500","fmri_response_test","","","","","","","","","","","","","",""
"471","71","poldrack-text","2","4804","0.0-2.0","pilot-38_ses-01_run2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","471","500","fmri_response_test","","","","","","","","","","","","","",""
"5270","","survey-text","3","10610","0.0-3.0","pilot-38_ses-01_run2","","","","task_setup","{""Q0"":""250""}","","","","","","","","","","","","",""
"4383","32","poldrack-single-stim","4","16070","0.0-4.0","pilot-38_ses-01_run2","","4383","0","instructions","","<div class = instructbox><p class = instruct-text><font size=""+2"">Une seule cle est correcte pour chaque forme. Ne repondez pas si vous voyez l'etoile rouge! Les cles correctes son les suivantes:</font><ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png></img>index</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png></img>index</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png></img>majeur</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png></img>majeur</div></li></ul></div>","32","4383","","","","","","","","","",""
"1150","71","poldrack-categorize","5","18461","0.0-5.0-0.0-0.0","pilot-38_ses-01_run2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","0","","","","",""
"727","71","poldrack-categorize","6","21117","0.0-5.0-0.0-1.0","pilot-38_ses-01_run2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","1","","","","",""
"706","71","poldrack-categorize","7","23778","0.0-5.0-0.0-2.0","pilot-38_ses-01_run2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","2","","","","",""
"622","89","poldrack-categorize","8","26452","0.0-5.0-0.0-3.0","pilot-38_ses-01_run2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","3","","","","",""
"579","71","poldrack-categorize","9","29101","0.0-5.0-0.0-4.0","pilot-38_ses-01_run2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","4","","","","",""
"530","89","poldrack-categorize","10","31761","0.0-5.0-0.0-5.0","pilot-38_ses-01_run2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","5","","","","",""
"562","89","poldrack-categorize","11","34416","0.0-5.0-0.0-6.0","pilot-38_ses-01_run2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","6","","","","",""
"677","89","poldrack-categorize","12","37081","0.0-5.0-0.0-7.0","pilot-38_ses-01_run2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","7","","","","",""
"605","71","poldrack-categorize","13","39725","0.0-5.0-0.0-8.0","pilot-38_ses-01_run2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","8","","","","",""
"622","71","poldrack-categorize","14","42376","0.0-5.0-0.0-9.0","pilot-38_ses-01_run2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","9","","","","",""
"592","89","poldrack-categorize","15","45030","0.0-5.0-0.0-10.0","pilot-38_ses-01_run2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","10","","","","",""
"566","89","poldrack-categorize","16","47674","0.0-5.0-0.0-11.0","pilot-38_ses-01_run2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","11","","","","",""
