"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"3812","13","text","0","3815","0.0-0.0","pilot-39_ses-02_1","","","","","","","","","","","","","",""
"906","89","poldrack-text","1","5737","0.0-1.0","pilot-39_ses-02_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","906","500","fmri_response_test","","","","","","","","","",""
"416","71","poldrack-text","2","6668","0.0-2.0","pilot-39_ses-02_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","416","500","fmri_response_test","","","","","","","","","",""
"7022","32","poldrack-single-stim","3","14217","0.0-3.0","pilot-39_ses-02_1","","7022","500","instructions","<div class = centerbox><div class = center-text><font size=""+3"">Choisissez entre <strong>20€ aujourd'hui</strong> ou l'option presentee.<br><strong>Index:</strong> Accepter l'option a l'ecran (rejeter 20€ aujourd'hui). <br><strong>Majeur:</strong> Rejeter l'option a l'ecran (accept 20€ today)<br>Nous commencerons par un essai d'entrainement.</font></div></div>","32","7022","","","","","","",""
"2557","89","poldrack-single-stim","4","17293","0.0-4.0","pilot-39_ses-02_1","","2557","1000","stim","<div class = dd-stim><div class = amtbox style = ""color:white"">53.75€</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71","2557","practice","","","","","",""
"37677","32","poldrack-text","5","55980","0.0-5.0","pilot-39_ses-02_1","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","37677","0","fmri_scanner_wait","","","","","","","","","",""
"101381","84","poldrack-text","6","157362","0.0-6.0","pilot-39_ses-02_1","<div class = centerbox><div style='color:red'; class = center-text>+</div></div>","101381","0","fmri_trigger_wait","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","158385","0.0-7.0","pilot-39_ses-02_1","","1000","0","fmri_buffer","","none","1000","","","","","","",""
"-1","-1","poldrack-single-stim","8","159898","0.0-8.0","pilot-39_ses-02_1","","1500","500","test_start_block","<div class = centerbox><div class = center-text>Preparez-vous!</p></div>","none","1500","","","","","","",""
"1679","71","poldrack-single-stim","9","165746","0.0-9.0","pilot-39_ses-02_1","","5316","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">31€</div><br><br><div class = delbox style = ""color:white"">76 jours</div></div>","89,71","4000","","20","31","76","smaller_sooner","",""
"1538","89","poldrack-single-stim","10","170340","0.0-10.0","pilot-39_ses-02_1","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">43€</div><br><br><div class = delbox style = ""color:white"">19 jours</div></div>","89,71","4000","","20","43","19","larger_later","",""
"1335","71","poldrack-single-stim","11","174991","0.0-11.0","pilot-39_ses-02_1","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">60€</div><br><br><div class = delbox style = ""color:white"">124 jours</div></div>","89,71","4000","","20","60","124","smaller_sooner","",""
