"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"9161","13","text","0","9166","0.0-0.0","pilot-39_ses-02_1","","","","","","","","","","","","","","","",""
"1072","89","poldrack-text","1","11242","0.0-1.0","pilot-39_ses-02_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","1072","500","fmri_response_test","","","","","","","","","","","",""
"1082","71","poldrack-text","2","12844","0.0-2.0","pilot-39_ses-02_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","1082","500","fmri_response_test","","","","","","","","","","","",""
"757","82","poldrack-text","3","14117","0.0-3.0","pilot-39_ses-02_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre annulaire</p></div>","757","500","fmri_response_test","","","","","","","","","","","",""
"3412","32","poldrack-single-stim","4","18041","0.0-4.0","pilot-39_ses-02_1","","3412","500","instructions","<div class = centerbox><div class = center-text>Repondre a la <strong>coleur de l'encre</strong> du mot!<br><br><span style = ""color:red;padding-left:30px"">MOT</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">MOT</span>: Majeur<br><span style = ""color:#4FE829;"">MOT</span>: Annulaire<br><br>Nous allos commencer par un peu de pratique</div></div>","32","3412","","","","","","","","",""
"673","89","poldrack-categorize","5","20601","0.0-5.0-0.0-0.0","pilot-39_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","500","congruent","red","red","1","practice",""
"-1","-1","poldrack-single-stim","6","20882","0.0-5.0-1.0","pilot-39_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"645","82","poldrack-categorize","7","22922","0.0-5.0-2.0-0.0","pilot-39_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","500","incongruent","green","red","2","practice",""
"-1","-1","poldrack-single-stim","8","23203","0.0-5.0-3.0","pilot-39_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"659","82","poldrack-categorize","9","25242","0.0-5.0-4.0-0.0","pilot-39_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","500","congruent","green","green","3","practice",""
"-1","-1","poldrack-single-stim","10","25524","0.0-5.0-5.0","pilot-39_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"662","89","poldrack-categorize","11","27577","0.0-5.0-6.0-0.0","pilot-39_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","500","incongruent","red","green","4","practice",""
"-1","-1","poldrack-single-stim","12","27860","0.0-5.0-7.0","pilot-39_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"523","71","poldrack-categorize","13","29910","0.0-5.0-8.0-0.0","pilot-39_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","500","congruent","blue","blue","5","practice",""
"-1","-1","poldrack-single-stim","14","30185","0.0-5.0-9.0","pilot-39_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"562","89","poldrack-categorize","15","32244","0.0-5.0-10.0-0.0","pilot-39_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","500","incongruent","red","blue","6","practice",""
"-1","-1","poldrack-single-stim","16","32515","0.0-5.0-11.0","pilot-39_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"555","82","poldrack-categorize","17","34554","0.0-5.0-12.0-0.0","pilot-39_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","500","incongruent","green","blue","7","practice",""
"-1","-1","poldrack-single-stim","18","34838","0.0-5.0-13.0","pilot-39_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"457","71","poldrack-categorize","19","36884","0.0-5.0-14.0-0.0","pilot-39_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","500","incongruent","blue","red","8","practice",""
"-1","-1","poldrack-single-stim","20","37156","0.0-5.0-15.0","pilot-39_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"692","71","poldrack-categorize","21","39192","0.0-5.0-16.0-0.0","pilot-39_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","500","incongruent","blue","green","9","practice",""
"-1","-1","poldrack-single-stim","22","39473","0.0-5.0-17.0","pilot-39_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"4649","32","poldrack-text","23","44124","0.0-6.0","pilot-39_ses-02_1","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","4649","0","fmri_scanner_wait","","","","","","","","","","","",""
"55538","84","poldrack-text","24","99665","0.0-7.0","pilot-39_ses-02_1","<div class = centerbox><div style='color:red'; class = center-text>+</div></div>","55538","0","fmri_trigger_wait","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","25","100683","0.0-8.0","pilot-39_ses-02_1","","1000","0","fmri_buffer","","none","1000","","","","","","","","",""
"-1","-1","poldrack-single-stim","26","102209","0.0-9.0","pilot-39_ses-02_1","","1500","500","test_start_block","<div class = centerbox><div class = center-text>Preparez-vous!</p></div>","none","1500","","","","","","","","",""
"-1","-1","poldrack-single-stim","27","103239","0.0-10.0","pilot-39_ses-02_1","","500","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"786","89","poldrack-single-stim","28","105262","0.0-11.0-0.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","0","test",""
"586","89","poldrack-single-stim","29","107257","0.0-11.0-1.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","1","test",""
"555","89","poldrack-single-stim","30","109541","0.0-11.0-2.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","2","test",""
"586","71","poldrack-single-stim","31","111549","0.0-11.0-3.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","3","test",""
"554","89","poldrack-single-stim","32","113702","0.0-11.0-4.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","4","test",""
"522","89","poldrack-single-stim","33","115718","0.0-11.0-5.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","5","test",""
"701","82","poldrack-single-stim","34","117876","0.0-11.0-6.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","6","test",""
"598","82","poldrack-single-stim","35","119907","0.0-11.0-7.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","7","test",""
"501","82","poldrack-single-stim","36","121900","0.0-11.0-8.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","8","test",""
"462","71","poldrack-single-stim","37","123906","0.0-11.0-9.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","9","test",""
"600","82","poldrack-single-stim","38","126206","0.0-11.0-10.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","10","test",""
"883","82","poldrack-single-stim","39","128229","0.0-11.0-11.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","11","test",""
"624","82","poldrack-single-stim","40","130372","0.0-11.0-12.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","12","test",""
"587","89","poldrack-single-stim","41","132789","0.0-11.0-13.0","pilot-39_ses-02_1","","2408","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","13","test",""
"653","71","poldrack-single-stim","42","135085","0.0-11.0-14.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","14","test",""
"662","82","poldrack-single-stim","43","137789","0.0-11.0-15.0","pilot-39_ses-02_1","","2680","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","15","test",""
"773","89","poldrack-single-stim","44","139821","0.0-11.0-16.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","16","test",""
"730","71","poldrack-single-stim","45","142250","0.0-11.0-17.0","pilot-39_ses-02_1","","2408","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","17","test",""
"644","71","poldrack-single-stim","46","144420","0.0-11.0-18.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","18","test",""
"628","71","poldrack-single-stim","47","147126","0.0-11.0-19.0","pilot-39_ses-02_1","","2680","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","19","test",""
"895","71","poldrack-single-stim","48","149145","0.0-11.0-20.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","20","test",""
"689","89","poldrack-single-stim","49","151293","0.0-11.0-21.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","21","test",""
"656","89","poldrack-single-stim","50","154270","0.0-11.0-22.0","pilot-39_ses-02_1","","2952","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","22","test",""
"989","82","poldrack-single-stim","51","156294","0.0-11.0-23.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","23","test",""
"724","89","poldrack-single-stim","52","158575","0.0-11.0-24.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","24","test",""
"602","82","poldrack-single-stim","53","160598","0.0-11.0-25.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","25","test",""
"645","82","poldrack-single-stim","54","162601","0.0-11.0-26.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","26","test",""
"661","89","poldrack-single-stim","55","164592","0.0-11.0-27.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","27","test",""
"668","89","poldrack-single-stim","56","166596","0.0-11.0-28.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","28","test",""
"525","82","poldrack-single-stim","57","168749","0.0-11.0-29.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","29","test",""
"504","82","poldrack-single-stim","58","170757","0.0-11.0-30.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","30","test",""
"696","89","poldrack-single-stim","59","172773","0.0-11.0-31.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","31","test",""
"579","82","poldrack-single-stim","60","174933","0.0-11.0-32.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","32","test",""
"1135","82","poldrack-single-stim","61","176950","0.0-11.0-33.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","33","test",""
"1212","89","poldrack-single-stim","62","178955","0.0-11.0-34.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","34","test",""
"705","71","poldrack-single-stim","63","181112","0.0-11.0-35.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","35","test",""
"587","71","poldrack-single-stim","64","183243","0.0-11.0-36.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","36","test",""
"489","71","poldrack-single-stim","65","185534","0.0-11.0-37.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","37","test",""
"709","82","poldrack-single-stim","66","188221","0.0-11.0-38.0","pilot-39_ses-02_1","","2680","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","38","test",""
"700","89","poldrack-single-stim","67","190233","0.0-11.0-39.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","39","test",""
"1013","71","poldrack-single-stim","68","192246","0.0-11.0-40.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","40","test",""
"639","71","poldrack-single-stim","69","194531","0.0-11.0-41.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","41","test",""
"673","89","poldrack-single-stim","70","196541","0.0-11.0-42.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","42","test",""
"703","89","poldrack-single-stim","71","198540","0.0-11.0-43.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","43","test",""
"1119","71","poldrack-single-stim","72","200564","0.0-11.0-44.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","44","test",""
"814","82","poldrack-single-stim","73","202553","0.0-11.0-45.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","45","test",""
"747","82","poldrack-single-stim","74","204554","0.0-11.0-46.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","46","test",""
"734","71","poldrack-single-stim","75","206547","0.0-11.0-47.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","47","test",""
"754","89","poldrack-single-stim","76","208842","0.0-11.0-48.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","48","test",""
"860","71","poldrack-single-stim","77","210854","0.0-11.0-49.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","49","test",""
"865","71","poldrack-single-stim","78","213272","0.0-11.0-50.0","pilot-39_ses-02_1","","2408","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","50","test",""
"783","71","poldrack-single-stim","79","215301","0.0-11.0-51.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","51","test",""
"813","82","poldrack-single-stim","80","217458","0.0-11.0-52.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","52","test",""
"774","71","poldrack-single-stim","81","219481","0.0-11.0-53.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","53","test",""
"867","89","poldrack-single-stim","82","221474","0.0-11.0-54.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","54","test",""
"944","71","poldrack-single-stim","83","223478","0.0-11.0-55.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","55","test",""
"727","82","poldrack-single-stim","84","225771","0.0-11.0-56.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","56","test",""
"957","82","poldrack-single-stim","85","227794","0.0-11.0-57.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","57","test",""
"667","82","poldrack-single-stim","86","230093","0.0-11.0-58.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","58","test",""
"958","89","poldrack-single-stim","87","232359","0.0-11.0-59.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","59","test",""
"736","82","poldrack-single-stim","88","234375","0.0-11.0-60.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","60","test",""
"632","89","poldrack-single-stim","89","237081","0.0-11.0-61.0","pilot-39_ses-02_1","","2680","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","61","test",""
"828","89","poldrack-single-stim","90","239109","0.0-11.0-62.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","62","test",""
"804","71","poldrack-single-stim","91","241401","0.0-11.0-63.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","63","test",""
