"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","condition","stop_response","exp_id"
"2552","13","text","0","2555","0.0-0.0","pilot-39_ses-02_2","","","","","","","","","","","","","","","","","","","",""
"1121","89","poldrack-text","1","4695","0.0-1.0","pilot-39_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","1121","500","fmri_response_test","","","","","","","","","","","","","","","",""
"352","71","poldrack-text","2","5567","0.0-2.0","pilot-39_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","352","500","fmri_response_test","","","","","","","","","","","","","","","",""
"5181","","survey-text","3","11280","0.0-3.0","pilot-39_ses-02_2","","","","task_setup","{""Q0"":""250""}","","","","","","","","","","","","","","",""
"5525","32","poldrack-single-stim","4","17871","0.0-4.0","pilot-39_ses-02_2","","5525","0","instructions","","<div class = instructbox><p class = instruct-text><font size=""+2"">Une seule cle est correcte pour chaque forme. <strong>Ne repondez pas si vous voyez l'etoile rouge si votre response allait etre votre index!</strong> Les cles correctes son les suivantes:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img>index</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img>index</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img>majeur</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img>majeur</div></li></ul></font></div>","32","5525","","","","","","","","","","","",""
"887","89","poldrack-categorize","5","20247","0.0-5.0-0.0-0.0","pilot-39_ses-02_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","89,71","850","true","89","500","practice","0","","","","","","",""
"895","71","poldrack-categorize","6","22911","0.0-5.0-0.0-1.0","pilot-39_ses-02_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","89,71","850","true","71","500","practice","1","","","","","","",""
"883","89","poldrack-categorize","7","25570","0.0-5.0-0.0-2.0","pilot-39_ses-02_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","89,71","850","true","89","500","practice","2","","","","","","",""
"666","89","poldrack-categorize","8","28234","0.0-5.0-0.0-3.0","pilot-39_ses-02_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","89,71","850","true","89","500","practice","3","","","","","","",""
"600","89","poldrack-categorize","9","30895","0.0-5.0-0.0-4.0","pilot-39_ses-02_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","89,71","850","true","89","500","practice","4","","","","","","",""
"559","71","poldrack-categorize","10","33548","0.0-5.0-0.0-5.0","pilot-39_ses-02_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","89,71","850","true","71","500","practice","5","","","","","","",""
"460","71","poldrack-categorize","11","36205","0.0-5.0-0.0-6.0","pilot-39_ses-02_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","89,71","850","true","71","500","practice","6","","","","","","",""
"563","71","poldrack-categorize","12","38860","0.0-5.0-0.0-7.0","pilot-39_ses-02_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","89,71","850","true","71","500","practice","7","","","","","","",""
