"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","exp_id"
"1788","13","text","0","1791","0.0-0.0","sub-09_ses-01_2","","","","","","","","","","","","","","","","","",""
"14667","89","poldrack-text","1","17482","0.0-1.0","sub-09_ses-01_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","14667","500","fmri_response_test","","","","","","","","","","","","","",""
"716","71","poldrack-text","2","18725","0.0-2.0","sub-09_ses-01_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","716","500","fmri_response_test","","","","","","","","","","","","","",""
"6624","","survey-text","3","25895","0.0-3.0","sub-09_ses-01_2","","","","task_setup","{""Q0"":""250""}","","","","","","","","","","","","",""
"6419","32","poldrack-single-stim","4","33426","0.0-4.0","sub-09_ses-01_2","","6419","0","instructions","","<div class = instructbox><p class = instruct-text><font size=""+2"">Une seule cle est correcte pour chaque forme. Ne repondez pas si vous voyez l'etoile rouge! Les cles correctes son les suivantes:</font><ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png width= ""50%"" height= ""50%""></img>Index</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png width= ""50%"" height= ""50%""></img>Index</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png width= ""50%"" height= ""50%""></img>Majeur</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png width= ""50%"" height= ""50%""></img>Majeur</div></li></ul></div>","32","6419","","","","","","","","","",""
"1029","71","poldrack-categorize","5","35813","0.0-5.0-0.0-0.0","sub-09_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","0","","","","",""
"651","71","poldrack-categorize","6","38452","0.0-5.0-0.0-1.0","sub-09_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","1","","","","",""
"631","89","poldrack-categorize","7","41082","0.0-5.0-0.0-2.0","sub-09_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","2","","","","",""
"609","71","poldrack-categorize","8","43723","0.0-5.0-0.0-3.0","sub-09_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","3","","","","",""
"650","71","poldrack-categorize","9","46362","0.0-5.0-0.0-4.0","sub-09_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","4","","","","",""
"549","71","poldrack-categorize","10","49003","0.0-5.0-0.0-5.0","sub-09_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","5","","","","",""
"544","71","poldrack-categorize","11","51633","0.0-5.0-0.0-6.0","sub-09_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","6","","","","",""
"552","89","poldrack-categorize","12","54272","0.0-5.0-0.0-7.0","sub-09_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","7","","","","",""
"556","89","poldrack-categorize","13","56912","0.0-5.0-0.0-8.0","sub-09_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","8","","","","",""
"551","89","poldrack-categorize","14","59562","0.0-5.0-0.0-9.0","sub-09_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","9","","","","",""
"649","89","poldrack-categorize","15","62212","0.0-5.0-0.0-10.0","sub-09_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","10","","","","",""
"616","89","poldrack-categorize","16","64853","0.0-5.0-0.0-11.0","sub-09_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","11","","","","",""
"2202","32","poldrack-text","17","67318","0.0-6.0","sub-09_ses-01_2","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","2202","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"54956","84","poldrack-text","18","122280","0.0-7.0","sub-09_ses-01_2","<div class = centerbox><div style='color:red'; class = center-text>+</div></div>","54956","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","19","123304","0.0-8.0","sub-09_ses-01_2","","1000","0","fmri_buffer","","","none","1000","","","","","","","","","",""
"-1","-1","poldrack-single-stim","20","124824","0.0-9.0","sub-09_ses-01_2","","1500","500","test_start_block","","<div class = centerbox><div class = center-text>Preparez-vous!</p></div>","none","1500","","","","","","","","","",""
