"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","condition","exp_stage","trial_num","correct_response","correct","exp_id"
"3173","13","text","0","3181","0.0-0.0","sub-11_ses-03_1","","","","","","","","","","","","","",""
"1823","89","poldrack-text","1","6027","0.0-1.0","sub-11_ses-03_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","1823","500","fmri_response_test","","","","","","","","","",""
"425","71","poldrack-text","2","6971","0.0-2.0","sub-11_ses-03_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","425","500","fmri_response_test","","","","","","","","","",""
"6929","","survey-text","3","14416","0.0-3.0","sub-11_ses-03_1","","","","task_setup","{""Q0"":""4"",""Q1"":""6""}","","","","","","","","",""
"5538","32","poldrack-single-stim","4","20967","0.0-4.0","sub-11_ses-03_1","","5538","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Paire cible (appuyez sur l'index):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png"" ></img>&nbsp&nbsp&nbsp...suivi par...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Sinon appuyez sur le majeur</div>","32","5538","","","","","",""
"-1","-1","poldrack-single-stim","5","22011","0.0-5.0-0.0","sub-11_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","AX","practice","0","","",""
"-1","-1","poldrack-single-stim","6","24030","0.0-5.0-1.0","sub-11_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"1659","89","poldrack-single-stim","7","25749","0.0-5.0-2.0","sub-11_ses-03_1","","1700","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","AX","practice","0","89","true",""
"-1","-1","poldrack-single-stim","8","26271","0.0-5.0-3.0","sub-11_ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","1","","",""
"-1","-1","poldrack-single-stim","9","26792","0.0-5.0-4.0","sub-11_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue6.png""</img></div></div>","none","500","BY","practice","1","","",""
"-1","-1","poldrack-single-stim","10","28800","0.0-5.0-5.0","sub-11_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"809","71","poldrack-single-stim","11","30319","0.0-5.0-6.0","sub-11_ses-03_1","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe3.png""</img></div></div>","89,71","500","BY","practice","1","71","true",""
"-1","-1","poldrack-single-stim","12","30839","0.0-5.0-7.0","sub-11_ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","2","","",""
"-1","-1","poldrack-single-stim","13","31359","0.0-5.0-8.0","sub-11_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","AX","practice","2","","",""
"-1","-1","poldrack-single-stim","14","33378","0.0-5.0-9.0","sub-11_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"707","89","poldrack-single-stim","15","34888","0.0-5.0-10.0","sub-11_ses-03_1","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","AX","practice","2","89","true",""
"-1","-1","poldrack-single-stim","16","35409","0.0-5.0-11.0","sub-11_ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","3","","",""
"-1","-1","poldrack-single-stim","17","35928","0.0-5.0-12.0","sub-11_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","AX","practice","3","","",""
"-1","-1","poldrack-single-stim","18","37948","0.0-5.0-13.0","sub-11_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"859","89","poldrack-single-stim","19","40468","0.0-5.0-14.0","sub-11_ses-03_1","","2500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","AX","practice","3","89","true",""
"-1","-1","poldrack-single-stim","20","40989","0.0-5.0-15.0","sub-11_ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","4","","",""
"-1","-1","poldrack-single-stim","21","41508","0.0-5.0-16.0","sub-11_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","AX","practice","4","","",""
"-1","-1","poldrack-single-stim","22","43529","0.0-5.0-17.0","sub-11_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"1139","89","poldrack-single-stim","23","45048","0.0-5.0-18.0","sub-11_ses-03_1","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","AX","practice","4","89","true",""
"-1","-1","poldrack-single-stim","24","45569","0.0-5.0-19.0","sub-11_ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","5","","",""
"-1","-1","poldrack-single-stim","25","46089","0.0-5.0-20.0","sub-11_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue6.png""</img></div></div>","none","500","BX","practice","5","","",""
"-1","-1","poldrack-single-stim","26","48107","0.0-5.0-21.0","sub-11_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"760","71","poldrack-single-stim","27","49628","0.0-5.0-22.0","sub-11_ses-03_1","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","BX","practice","5","71","true",""
"-1","-1","poldrack-single-stim","28","50149","0.0-5.0-23.0","sub-11_ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","6","","",""
"-1","-1","poldrack-single-stim","29","50669","0.0-5.0-24.0","sub-11_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue5.png""</img></div></div>","none","500","BX","practice","6","","",""
"-1","-1","poldrack-single-stim","30","52689","0.0-5.0-25.0","sub-11_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"804","71","poldrack-single-stim","31","54607","0.0-5.0-26.0","sub-11_ses-03_1","","1900","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","BX","practice","6","71","true",""
"-1","-1","poldrack-single-stim","32","55129","0.0-5.0-27.0","sub-11_ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","7","","",""
"-1","-1","poldrack-single-stim","33","55650","0.0-5.0-28.0","sub-11_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png""</img></div></div>","none","500","BY","practice","7","","",""
"-1","-1","poldrack-single-stim","34","57669","0.0-5.0-29.0","sub-11_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"949","71","poldrack-single-stim","35","59990","0.0-5.0-30.0","sub-11_ses-03_1","","2300","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe3.png""</img></div></div>","89,71","500","BY","practice","7","71","true",""
"-1","-1","poldrack-single-stim","36","60510","0.0-5.0-31.0","sub-11_ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","8","","",""
"-1","-1","poldrack-single-stim","37","61030","0.0-5.0-32.0","sub-11_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","AY","practice","8","","",""
"-1","-1","poldrack-single-stim","38","63050","0.0-5.0-33.0","sub-11_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"1339","89","poldrack-single-stim","39","65168","0.0-5.0-34.0","sub-11_ses-03_1","","2100","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe3.png""</img></div></div>","89,71","500","AY","practice","8","71","false",""
"-1","-1","poldrack-single-stim","40","65689","0.0-5.0-35.0","sub-11_ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:red""; class = center-text>Incorrect</div></div>","none","500","","practice","9","","",""
"-1","-1","poldrack-single-stim","41","66209","0.0-5.0-36.0","sub-11_ses-03_1","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","AY","practice","9","","",""
"-1","-1","poldrack-single-stim","42","68229","0.0-5.0-37.0","sub-11_ses-03_1","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","","practice","","","",""
"892","71","poldrack-single-stim","43","69739","0.0-5.0-38.0","sub-11_ses-03_1","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>","89,71","500","AY","practice","9","71","true",""
"-1","-1","poldrack-single-stim","44","70259","0.0-5.0-39.0","sub-11_ses-03_1","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","","practice","10","","",""
"2216","32","poldrack-text","45","72481","0.0-6.0","sub-11_ses-03_1","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","2216","0","fmri_scanner_wait","","","","","","","","","",""
"54746","84","poldrack-text","46","127230","0.0-7.0","sub-11_ses-03_1","<div class = centerbox><div style='color:red'; class = center-text>+</div></div>","54746","0","fmri_trigger_wait","","","","","","","","","",""
