"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"3299","13","text","0","3303","0.0-0.0","sub-12_ses-02_2","","","","","","","","","","","","","",""
"1059","89","poldrack-text","1","5374","0.0-1.0","sub-12_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","1059","500","fmri_response_test","","","","","","","","","",""
"508","71","poldrack-text","2","6402","0.0-2.0","sub-12_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","508","500","fmri_response_test","","","","","","","","","",""
"4776","32","poldrack-single-stim","3","11694","0.0-3.0","sub-12_ses-02_2","","4776","500","instructions","<div class = centerbox><div class = center-text><font size=""+3"">Choisissez entre <strong>20€ aujourd'hui</strong> ou l'option presentee.<br><strong>Index:</strong> Accepter l'option a l'ecran (rejeter 20€ aujourd'hui). <br><strong>Majeur:</strong> Rejeter l'option a l'ecran (accept 20€ today)<br>Nous commencerons par un essai d'entrainement.</font></div></div>","32","4776","","","","","","",""
"1393","89","poldrack-single-stim","4","13595","0.0-4.0","sub-12_ses-02_2","","1393","1000","stim","<div class = dd-stim><div class = amtbox style = ""color:white"">53.75€</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71","1393","practice","","","","","",""
"1098","32","poldrack-text","5","15709","0.0-5.0","sub-12_ses-02_2","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","1098","0","fmri_scanner_wait","","","","","","","","","",""
"56956","84","poldrack-text","6","72666","0.0-6.0","sub-12_ses-02_2","<div class = centerbox><div style='color:red'; class = center-text>+</div></div>","56956","0","fmri_trigger_wait","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","73674","0.0-7.0","sub-12_ses-02_2","","1000","0","fmri_buffer","","none","1000","","","","","","",""
"-1","-1","poldrack-single-stim","8","75180","0.0-8.0","sub-12_ses-02_2","","1500","500","test_start_block","<div class = centerbox><div class = center-text>Preparez-vous!</p></div>","none","1500","","","","","","",""
"1078","71","poldrack-single-stim","9","81029","0.0-9.0","sub-12_ses-02_2","","5316","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">31€</div><br><br><div class = delbox style = ""color:white"">76 jours</div></div>","89,71","4000","","20","31","76","smaller_sooner","",""
"1408","89","poldrack-single-stim","10","85610","0.0-10.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">43€</div><br><br><div class = delbox style = ""color:white"">19 jours</div></div>","89,71","4000","","20","43","19","larger_later","",""
"966","71","poldrack-single-stim","11","90250","0.0-11.0","sub-12_ses-02_2","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">60€</div><br><br><div class = delbox style = ""color:white"">124 jours</div></div>","89,71","4000","","20","60","124","smaller_sooner","",""
"853","71","poldrack-single-stim","12","95168","0.0-12.0","sub-12_ses-02_2","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">27€</div><br><br><div class = delbox style = ""color:white"">142 jours</div></div>","89,71","4000","","20","27","142","smaller_sooner","",""
"762","71","poldrack-single-stim","13","99689","0.0-13.0","sub-12_ses-02_2","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">25€</div><br><br><div class = delbox style = ""color:white"">70 jours</div></div>","89,71","4000","","20","25","70","smaller_sooner","",""
"1073","71","poldrack-single-stim","14","104680","0.0-14.0","sub-12_ses-02_2","","4976","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">44€</div><br><br><div class = delbox style = ""color:white"">92 jours</div></div>","89,71","4000","","20","44","92","smaller_sooner","",""
"1230","89","poldrack-single-stim","15","109609","0.0-15.0","sub-12_ses-02_2","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">41€</div><br><br><div class = delbox style = ""color:white"">27 jours</div></div>","89,71","4000","","20","41","27","larger_later","",""
"1069","71","poldrack-single-stim","16","114189","0.0-16.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">64€</div><br><br><div class = delbox style = ""color:white"">89 jours</div></div>","89,71","4000","","20","64","89","smaller_sooner","",""
"985","71","poldrack-single-stim","17","118710","0.0-17.0","sub-12_ses-02_2","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">78€</div><br><br><div class = delbox style = ""color:white"">108 jours</div></div>","89,71","4000","","20","78","108","smaller_sooner","",""
"905","71","poldrack-single-stim","18","124929","0.0-18.0","sub-12_ses-02_2","","6200","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">80€</div><br><br><div class = delbox style = ""color:white"">145 jours</div></div>","89,71","4000","","20","80","145","smaller_sooner","",""
"1248","71","poldrack-single-stim","19","129639","0.0-19.0","sub-12_ses-02_2","","4704","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">41€</div><br><br><div class = delbox style = ""color:white"">174 jours</div></div>","89,71","4000","","20","41","174","smaller_sooner","",""
"592","71","poldrack-single-stim","20","134699","0.0-20.0","sub-12_ses-02_2","","5044","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">42€</div><br><br><div class = delbox style = ""color:white"">145 jours</div></div>","89,71","4000","","20","42","145","smaller_sooner","",""
"657","71","poldrack-single-stim","21","139758","0.0-21.0","sub-12_ses-02_2","","5044","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">36€</div><br><br><div class = delbox style = ""color:white"">114 jours</div></div>","89,71","4000","","20","36","114","smaller_sooner","",""
"1196","89","poldrack-single-stim","22","144945","0.0-22.0","sub-12_ses-02_2","","5180","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">58€</div><br><br><div class = delbox style = ""color:white"">55 jours</div></div>","89,71","4000","","20","58","55","larger_later","",""
"1098","89","poldrack-single-stim","23","149938","0.0-23.0","sub-12_ses-02_2","","4976","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">81€</div><br><br><div class = delbox style = ""color:white"">58 jours</div></div>","89,71","4000","","20","81","58","larger_later","",""
"816","71","poldrack-single-stim","24","154728","0.0-24.0","sub-12_ses-02_2","","4772","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">32€</div><br><br><div class = delbox style = ""color:white"">111 jours</div></div>","89,71","4000","","20","32","111","smaller_sooner","",""
"759","71","poldrack-single-stim","25","159508","0.0-25.0","sub-12_ses-02_2","","4772","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">25€</div><br><br><div class = delbox style = ""color:white"">141 jours</div></div>","89,71","4000","","20","25","141","smaller_sooner","",""
"1148","89","poldrack-single-stim","26","164709","0.0-26.0","sub-12_ses-02_2","","5180","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">67€</div><br><br><div class = delbox style = ""color:white"">23 jours</div></div>","89,71","4000","","20","67","23","larger_later","",""
"939","71","poldrack-single-stim","27","169908","0.0-27.0","sub-12_ses-02_2","","5180","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">77€</div><br><br><div class = delbox style = ""color:white"">161 jours</div></div>","89,71","4000","","20","77","161","smaller_sooner","",""
"779","71","poldrack-single-stim","28","175169","0.0-28.0","sub-12_ses-02_2","","5248","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">55€</div><br><br><div class = delbox style = ""color:white"">163 jours</div></div>","89,71","4000","","20","55","163","smaller_sooner","",""
"690","71","poldrack-single-stim","29","179749","0.0-29.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">40€</div><br><br><div class = delbox style = ""color:white"">159 jours</div></div>","89,71","4000","","20","40","159","smaller_sooner","",""
"643","71","poldrack-single-stim","30","184258","0.0-30.0","sub-12_ses-02_2","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">76€</div><br><br><div class = delbox style = ""color:white"">161 jours</div></div>","89,71","4000","","20","76","161","smaller_sooner","",""
"588","71","poldrack-single-stim","31","189179","0.0-31.0","sub-12_ses-02_2","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">48€</div><br><br><div class = delbox style = ""color:white"">128 jours</div></div>","89,71","4000","","20","48","128","smaller_sooner","",""
"792","71","poldrack-single-stim","32","193758","0.0-32.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">39€</div><br><br><div class = delbox style = ""color:white"">95 jours</div></div>","89,71","4000","","20","39","95","smaller_sooner","",""
"658","71","poldrack-single-stim","33","199969","0.0-33.0","sub-12_ses-02_2","","6200","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">83€</div><br><br><div class = delbox style = ""color:white"">105 jours</div></div>","89,71","4000","","20","83","105","smaller_sooner","",""
"1148","89","poldrack-single-stim","34","204889","0.0-34.0","sub-12_ses-02_2","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">67€</div><br><br><div class = delbox style = ""color:white"">41 jours</div></div>","89,71","4000","","20","67","41","larger_later","",""
"866","71","poldrack-single-stim","35","210158","0.0-35.0","sub-12_ses-02_2","","5248","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">56€</div><br><br><div class = delbox style = ""color:white"">172 jours</div></div>","89,71","4000","","20","56","172","smaller_sooner","",""
"730","71","poldrack-single-stim","36","215208","0.0-36.0","sub-12_ses-02_2","","5044","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">28€</div><br><br><div class = delbox style = ""color:white"">123 jours</div></div>","89,71","4000","","20","28","123","smaller_sooner","",""
"756","71","poldrack-single-stim","37","219849","0.0-37.0","sub-12_ses-02_2","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">50€</div><br><br><div class = delbox style = ""color:white"">129 jours</div></div>","89,71","4000","","20","50","129","smaller_sooner","",""
"1085","71","poldrack-single-stim","38","224569","0.0-38.0","sub-12_ses-02_2","","4704","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">23€</div><br><br><div class = delbox style = ""color:white"">61 jours</div></div>","89,71","4000","","20","23","61","smaller_sooner","",""
"1020","71","poldrack-single-stim","39","229209","0.0-39.0","sub-12_ses-02_2","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">79€</div><br><br><div class = delbox style = ""color:white"">92 jours</div></div>","89,71","4000","","20","79","92","smaller_sooner","",""
"751","71","poldrack-single-stim","40","233789","0.0-40.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">61€</div><br><br><div class = delbox style = ""color:white"">141 jours</div></div>","89,71","4000","","20","61","141","smaller_sooner","",""
"1311","89","poldrack-single-stim","41","238380","0.0-41.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">43€</div><br><br><div class = delbox style = ""color:white"">38 jours</div></div>","89,71","4000","","20","43","38","larger_later","",""
"811","71","poldrack-single-stim","42","243299","0.0-42.0","sub-12_ses-02_2","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">66€</div><br><br><div class = delbox style = ""color:white"">145 jours</div></div>","89,71","4000","","20","66","145","smaller_sooner","",""
"1479","89","poldrack-single-stim","43","248149","0.0-43.0","sub-12_ses-02_2","","4840","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">30€</div><br><br><div class = delbox style = ""color:white"">23 jours</div></div>","89,71","4000","","20","30","23","larger_later","",""
"1059","71","poldrack-single-stim","44","253409","0.0-44.0","sub-12_ses-02_2","","5248","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">32€</div><br><br><div class = delbox style = ""color:white"">57 jours</div></div>","89,71","4000","","20","32","57","smaller_sooner","",""
"865","71","poldrack-single-stim","45","258198","0.0-45.0","sub-12_ses-02_2","","4772","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">27€</div><br><br><div class = delbox style = ""color:white"">91 jours</div></div>","89,71","4000","","20","27","91","smaller_sooner","",""
"800","71","poldrack-single-stim","46","264199","0.0-46.0","sub-12_ses-02_2","","5996","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">43€</div><br><br><div class = delbox style = ""color:white"">120 jours</div></div>","89,71","4000","","20","43","120","smaller_sooner","",""
"1232","89","poldrack-single-stim","47","269800","0.0-47.0","sub-12_ses-02_2","","5588","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">75€</div><br><br><div class = delbox style = ""color:white"">60 jours</div></div>","89,71","4000","","20","75","60","larger_later","",""
"763","71","poldrack-single-stim","48","274369","0.0-48.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">34€</div><br><br><div class = delbox style = ""color:white"">176 jours</div></div>","89,71","4000","","20","34","176","smaller_sooner","",""
"1234","71","poldrack-single-stim","49","279489","0.0-49.0","sub-12_ses-02_2","","5112","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">24€</div><br><br><div class = delbox style = ""color:white"">38 jours</div></div>","89,71","4000","","20","24","38","smaller_sooner","",""
"1052","89","poldrack-single-stim","50","285150","0.0-50.0","sub-12_ses-02_2","","5656","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">82€</div><br><br><div class = delbox style = ""color:white"">74 jours</div></div>","89,71","4000","","20","82","74","larger_later","",""
"1116","89","poldrack-single-stim","51","289729","0.0-51.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">58€</div><br><br><div class = delbox style = ""color:white"">53 jours</div></div>","89,71","4000","","20","58","53","larger_later","",""
"1448","89","poldrack-single-stim","52","294519","0.0-52.0","sub-12_ses-02_2","","4772","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">54€</div><br><br><div class = delbox style = ""color:white"">23 jours</div></div>","89,71","4000","","20","54","23","larger_later","",""
"1236","71","poldrack-single-stim","53","299569","0.0-53.0","sub-12_ses-02_2","","5044","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">41€</div><br><br><div class = delbox style = ""color:white"">55 jours</div></div>","89,71","4000","","20","41","55","smaller_sooner","",""
"980","71","poldrack-single-stim","54","304419","0.0-54.0","sub-12_ses-02_2","","4840","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">77€</div><br><br><div class = delbox style = ""color:white"">142 jours</div></div>","89,71","4000","","20","77","142","smaller_sooner","",""
"689","71","poldrack-single-stim","55","309609","0.0-55.0","sub-12_ses-02_2","","5180","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">25€</div><br><br><div class = delbox style = ""color:white"">108 jours</div></div>","89,71","4000","","20","25","108","smaller_sooner","",""
"713","71","poldrack-single-stim","56","314674","0.0-56.0","sub-12_ses-02_2","","5044","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">33€</div><br><br><div class = delbox style = ""color:white"">163 jours</div></div>","89,71","4000","","20","33","163","smaller_sooner","",""
"784","71","poldrack-single-stim","57","319668","0.0-57.0","sub-12_ses-02_2","","4976","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">29€</div><br><br><div class = delbox style = ""color:white"">75 jours</div></div>","89,71","4000","","20","29","75","smaller_sooner","",""
"683","71","poldrack-single-stim","58","324649","0.0-58.0","sub-12_ses-02_2","","4976","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">45€</div><br><br><div class = delbox style = ""color:white"">157 jours</div></div>","89,71","4000","","20","45","157","smaller_sooner","",""
"551","71","poldrack-single-stim","59","329979","0.0-59.0","sub-12_ses-02_2","","5316","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">31€</div><br><br><div class = delbox style = ""color:white"">74 jours</div></div>","89,71","4000","","20","31","74","smaller_sooner","",""
"1172","89","poldrack-single-stim","60","334500","0.0-60.0","sub-12_ses-02_2","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">80€</div><br><br><div class = delbox style = ""color:white"">39 jours</div></div>","89,71","4000","","20","80","39","larger_later","",""
"1131","89","poldrack-single-stim","61","339550","0.0-61.0","sub-12_ses-02_2","","5044","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">22€</div><br><br><div class = delbox style = ""color:white"">21 jours</div></div>","89,71","4000","","20","22","21","larger_later","",""
"1677","71","poldrack-single-stim","62","344259","0.0-62.0","sub-12_ses-02_2","","4704","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">52€</div><br><br><div class = delbox style = ""color:white"">139 jours</div></div>","89,71","4000","","20","52","139","smaller_sooner","",""
"1160","71","poldrack-single-stim","63","349119","0.0-63.0","sub-12_ses-02_2","","4840","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">54€</div><br><br><div class = delbox style = ""color:white"">126 jours</div></div>","89,71","4000","","20","54","126","smaller_sooner","",""
"730","71","poldrack-single-stim","64","355919","0.0-64.0","sub-12_ses-02_2","","6744","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">23€</div><br><br><div class = delbox style = ""color:white"">176 jours</div></div>","89,71","4000","","20","23","176","smaller_sooner","",""
"1043","71","poldrack-single-stim","65","360439","0.0-65.0","sub-12_ses-02_2","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">24€</div><br><br><div class = delbox style = ""color:white"">87 jours</div></div>","89,71","4000","","20","24","87","smaller_sooner","",""
"1553","71","poldrack-single-stim","66","365020","0.0-66.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">36€</div><br><br><div class = delbox style = ""color:white"">140 jours</div></div>","89,71","4000","","20","36","140","smaller_sooner","",""
"587","71","poldrack-single-stim","67","369729","0.0-67.0","sub-12_ses-02_2","","4704","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">35€</div><br><br><div class = delbox style = ""color:white"">171 jours</div></div>","89,71","4000","","20","35","171","smaller_sooner","",""
"910","71","poldrack-single-stim","68","374648","0.0-68.0","sub-12_ses-02_2","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">34€</div><br><br><div class = delbox style = ""color:white"">43 jours</div></div>","89,71","4000","","20","34","43","smaller_sooner","",""
"707","71","poldrack-single-stim","69","379228","0.0-69.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">74€</div><br><br><div class = delbox style = ""color:white"">121 jours</div></div>","89,71","4000","","20","74","121","smaller_sooner","",""
"-1","-1","poldrack-single-stim","70","386750","0.0-70.0","sub-12_ses-02_2","","7500","1000","rest_block","<div class = centerbox><div class = center-text>+</div></div>","none","7500","","","","","","",""
"1002","71","poldrack-single-stim","71","392549","0.0-71.0","sub-12_ses-02_2","","4772","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">45€</div><br><br><div class = delbox style = ""color:white"">107 jours</div></div>","89,71","4000","","20","45","107","smaller_sooner","",""
"1246","89","poldrack-single-stim","72","397189","0.0-72.0","sub-12_ses-02_2","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">77€</div><br><br><div class = delbox style = ""color:white"">24 jours</div></div>","89,71","4000","","20","77","24","larger_later","",""
"894","71","poldrack-single-stim","73","401770","0.0-73.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">39€</div><br><br><div class = delbox style = ""color:white"">161 jours</div></div>","89,71","4000","","20","39","161","smaller_sooner","",""
"703","71","poldrack-single-stim","74","407229","0.0-74.0","sub-12_ses-02_2","","5452","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">62€</div><br><br><div class = delbox style = ""color:white"">180 jours</div></div>","89,71","4000","","20","62","180","smaller_sooner","",""
"677","71","poldrack-single-stim","75","412619","0.0-75.0","sub-12_ses-02_2","","5384","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">24€</div><br><br><div class = delbox style = ""color:white"">139 jours</div></div>","89,71","4000","","20","24","139","smaller_sooner","",""
"1015","71","poldrack-single-stim","76","417199","0.0-76.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">58€</div><br><br><div class = delbox style = ""color:white"">72 jours</div></div>","89,71","4000","","20","58","72","smaller_sooner","",""
