"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","exp_id"
"1367","13","text","0","1370","0.0-0.0","sub-14_ses-01_1","","","","","","","","","","","","","","","","","",""
"1996","89","poldrack-text","1","4379","0.0-1.0","sub-14_ses-01_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","1996","500","fmri_response_test","","","","","","","","","","","","","",""
"897","71","poldrack-text","2","5786","0.0-2.0","sub-14_ses-01_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","897","500","fmri_response_test","","","","","","","","","","","","","",""
"7797","","survey-text","3","14104","0.0-3.0","sub-14_ses-01_1","","","","task_setup","{""Q0"":""250""}","","","","","","","","","","","","",""
"9162","32","poldrack-single-stim","4","24370","0.0-4.0","sub-14_ses-01_1","","9162","0","instructions","","<div class = instructbox><p class = instruct-text><font size=""+2"">Une seule cle est correcte pour chaque forme. Ne repondez pas si vous voyez l'etoile rouge! Les cles correctes son les suivantes:</font><ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png width= ""50%"" height= ""50%""></img>Index</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png width= ""50%"" height= ""50%""></img>Index</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png width= ""50%"" height= ""50%""></img>Majeur</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png width= ""50%"" height= ""50%""></img>Majeur</div></li></ul></div>","32","9162","","","","","","","","","",""
"1162","71","poldrack-categorize","5","26767","0.0-5.0-0.0-0.0","sub-14_ses-01_1","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","0","","","","",""
"635","71","poldrack-categorize","6","29407","0.0-5.0-0.0-1.0","sub-14_ses-01_1","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","1","","","","",""
"570","89","poldrack-categorize","7","32054","0.0-5.0-0.0-2.0","sub-14_ses-01_1","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","2","","","","",""
"517","89","poldrack-categorize","8","34697","0.0-5.0-0.0-3.0","sub-14_ses-01_1","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","3","","","","",""
"822","89","poldrack-categorize","9","37337","0.0-5.0-0.0-4.0","sub-14_ses-01_1","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","4","","","","",""
"757","71","poldrack-categorize","10","39978","0.0-5.0-0.0-5.0","sub-14_ses-01_1","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","5","","","","",""
